策略类型,信号总数,平均收益,盈利个数,预警个数,胜率,风险率
D_Strong_Breakout (高风险追涨/优化),60,-4.93%,30,30,50.00%,50.00%
C_New_Strategy (最高共振),46,7.68%,15,29,32.61%,63.04%
A_Strong_Pullback (中风险接力),58,-0.46%,14,42,24.14%,72.41%
E_Leader_Restart (二次启动),387,-15.97%,74,309,19.12%,79.84%
B_Low_Position_Start (低风险埋伏),54,-13.13%,9,45,16.67%,83.33%
