代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
002170,2026-02-27,14.64,14.1,-3.69,1.64,0,2,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605055,2026-02-27,10.34,9.78,-5.42,-2.8,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605055,2026-03-02,10.05,9.78,-2.69,-1.59,0,3,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
600560,2026-02-27,16.87,16.09,-4.62,-3.5,0,4,趋势: 多头排列 (5>20>60)
600560,2026-03-02,16.28,16.09,-1.17,-1.17,0,3,趋势: 多头排列 (5>20>60)
000955,2026-02-27,5.87,5.36,-8.69,-6.81,0,4,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000955,2026-03-02,5.47,5.36,-2.01,-2.01,0,3,量能: 放量 (1.89X)
600639,2026-02-25,10.88,10.35,-4.87,-2.11,0,4,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.47%, -0.09%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
600732,2026-02-27,14.52,15.25,5.03,5.03,1,4,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600732,2026-03-02,14.18,15.25,7.55,7.55,1,3,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停
002286,2026-02-27,11.12,10.15,-8.72,-2.79,0,2,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.94X) | 形态: 10日内有涨停 | 趋势: 高于MA20
002037,2026-02-27,9.17,8.77,-4.36,-1.31,0,4,"形态: 两连阴 (-1.28%, -0.65%)"
002037,2026-03-02,9.05,8.77,-3.09,-3.09,0,3,"形态: 两连阴 (-0.65%, -0.33%)"
600775,2026-02-25,14.82,13.55,-8.57,0.07,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002513,2026-02-25,7.72,6.88,-10.88,-2.98,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601611,2026-02-27,16.38,16.79,2.5,3.91,1,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601611,2026-03-02,17.02,16.79,-1.35,-1.35,0,3,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.65X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600516,2026-02-25,5.96,6.23,4.53,9.4,1,4,量能: 放量 (2.32X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600826,2026-02-25,12.0,11.23,-6.42,0.0,0,4,"形态: 两连阴 (-0.90%, -1.23%)"
002706,2026-02-27,11.54,11.52,-0.17,-0.17,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
002706,2026-03-02,11.45,11.52,0.61,0.61,1,3,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
600843,2026-02-27,11.44,10.88,-4.9,-2.19,0,4,趋势: 高于MA20
002488,2026-02-27,13.13,12.33,-6.09,-4.27,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002488,2026-03-02,12.57,12.33,-1.91,-1.91,0,3,趋势: 多头排列 (5>20>60)
603768,2026-02-27,12.09,11.27,-6.78,-3.39,0,4,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.89%, -0.08%) | 趋势: 高于MA20"
600288,2026-02-27,16.03,15.26,-4.8,-2.99,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600288,2026-03-02,15.55,15.26,-1.86,-1.86,0,3,趋势: 多头排列 (5>20>60)
600110,2026-02-27,8.39,7.84,-6.56,0.95,0,4,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600110,2026-03-02,8.47,7.84,-7.44,-5.79,0,3,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603218,2026-02-27,14.23,14.21,-0.14,0.07,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
603218,2026-03-02,14.24,14.21,-0.21,-0.21,0,3,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605166,2026-02-27,11.75,10.71,-8.85,-4.0,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
002382,2026-02-27,6.08,6.5,6.91,6.91,1,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
001299,2026-02-27,13.79,14.04,1.81,12.18,1,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
001299,2026-03-02,14.06,14.04,-0.14,10.03,0,3,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.69X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600854,2026-02-27,5.42,5.16,-4.8,-3.51,0,4,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.18%, -0.18%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
600854,2026-03-02,5.23,5.16,-1.34,-1.34,0,3,趋势: 多头排列 (5>20>60)
600050,2026-02-25,4.88,4.89,0.2,1.02,1,4,动量: 突破转强 (阳线上穿5/10)
603012,2026-02-27,8.25,8.08,-2.06,1.7,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603012,2026-03-02,8.39,8.08,-3.69,-3.69,0,3,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.66X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603903,2026-02-27,13.15,12.07,-8.21,-6.39,0,4,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603903,2026-03-02,12.31,12.07,-1.95,-1.95,0,3,量能: 放量 (1.50X)
603687,2026-02-27,11.5,10.54,-8.35,-4.52,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
603106,2026-02-25,10.7,9.85,-7.94,0.93,0,4,趋势: 高于MA20
000783,2026-02-27,7.95,7.7,-3.14,-1.51,0,2,动量: 突破转强 (阳线上穿5/10)
605050,2026-02-27,13.74,12.87,-6.33,-0.8,0,4,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605050,2026-03-02,13.63,12.87,-5.58,-2.13,0,3,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
601898,2026-02-27,15.17,17.53,15.56,15.56,1,4,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.33%, -1.42%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
601898,2026-03-02,16.55,17.53,5.92,5.92,1,3,趋势: 多头排列 (5>20>60) | 量能: 放量 (2.32X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601061,2026-02-27,15.91,14.69,-7.67,0.57,0,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601061,2026-03-02,16.0,14.69,-8.19,-5.75,0,3,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002681,2026-02-27,6.47,6.02,-6.96,-3.25,0,2,量能: 放量 (1.69X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600057,2026-02-27,8.5,8.23,-3.18,0.82,0,4,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600057,2026-03-02,8.54,8.23,-3.63,0.35,0,3,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
