代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
002858,2026-04-03,14.06,16.05,14.15,16.79,1,16,"形态: 两连阴 (-7.39%, -1.61%)"
002858,2026-04-22,16.16,16.05,-0.68,1.61,0,4,趋势: 高于MA20
002858,2026-04-24,15.53,16.05,3.35,5.73,1,2,趋势: 高于MA20
002858,2026-03-31,16.1,16.05,-0.31,1.99,0,19,量能: 放量 (1.55X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002519,2026-04-03,7.67,7.83,2.09,13.04,1,16,"形态: 10日内有涨停 | 形态: 两连阴 (-7.03%, -2.93%)"
002519,2026-04-02,7.96,7.83,-1.63,8.92,0,17,形态: 10日内有涨停
002519,2026-04-22,8.52,7.83,-8.1,-3.76,0,4,趋势: 高于MA20
002519,2026-03-31,8.82,7.83,-11.22,-1.7,0,19,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600232,2026-04-02,8.06,8.48,5.21,9.55,1,17,趋势: 高于MA20
600232,2026-04-10,8.59,8.48,-1.28,2.79,0,12,量能: 放量 (2.28X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600232,2026-04-22,8.62,8.48,-1.62,-0.58,0,4,趋势: 高于MA20
600232,2026-04-24,8.37,8.48,1.31,2.03,1,2,"形态: 两连阴 (-2.38%, -0.58%)"
600232,2026-03-31,8.1,8.48,4.69,9.01,1,19,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600138,2026-04-10,9.27,9.03,-2.59,1.19,0,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600138,2026-04-24,9.12,9.03,-0.99,0.33,0,2,"形态: 两连阴 (-0.76%, -0.44%)"
000036,2026-04-10,4.92,5.11,3.86,6.91,1,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000036,2026-04-22,5.12,5.11,-0.2,2.73,0,4,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000036,2026-04-24,5.18,5.11,-1.35,1.54,0,2,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002811,2026-04-03,12.9,13.25,2.71,7.36,1,16,"形态: 两连阴 (-0.44%, -2.28%)"
002811,2026-04-10,13.65,13.25,-2.93,1.47,0,12,动量: 突破转强 (阳线上穿5/10)
002811,2026-04-24,13.25,13.25,0.0,1.43,0,2,"形态: 两连阴 (-1.39%, -2.45%)"
002811,2026-03-31,13.65,13.25,-2.93,1.47,0,19,动量: 突破转强 (阳线上穿5/10)
603518,2026-04-10,8.99,9.52,5.9,5.9,1,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603518,2026-04-22,9.04,9.52,5.31,5.31,1,4,量能: 放量 (1.51X) | 趋势: 高于MA20
603518,2026-04-24,9.03,9.52,5.43,5.43,1,2,趋势: 高于MA20
002345,2026-04-03,10.4,10.73,3.17,8.08,1,16,趋势: 高于MA20
002345,2026-04-02,10.55,10.73,1.71,6.54,1,17,趋势: 高于MA20
002345,2026-04-10,10.72,10.73,0.09,4.85,1,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002345,2026-04-22,11.02,10.73,-2.63,-1.45,0,4,趋势: 高于MA20
002345,2026-04-24,10.86,10.73,-1.2,-1.2,0,2,"形态: 两连阴 (-1.96%, -1.45%) | 趋势: 高于MA20"
603278,2026-04-22,12.82,11.44,-10.76,2.96,0,4,形态: 10日内有涨停 | 趋势: 高于MA20
603278,2026-04-24,12.45,11.44,-8.11,-4.34,0,2,形态: 10日内有涨停 | 趋势: 高于MA20
600601,2026-04-10,10.11,11.6,14.74,18.2,1,12,趋势: 高于MA20
600601,2026-04-22,11.82,11.6,-1.86,1.1,0,4,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600601,2026-04-24,11.52,11.6,0.69,3.73,1,2,形态: 10日内有涨停 | 趋势: 高于MA20
600970,2026-04-02,10.52,9.98,-5.13,6.75,0,17,动量: 突破转强 (阳线上穿5/10)
600970,2026-04-10,10.81,9.98,-7.68,-2.22,0,12,趋势: 高于MA20
600970,2026-04-22,10.22,9.98,-2.35,-0.88,0,4,"形态: 两连阴 (-0.76%, -0.19%)"
600970,2026-04-24,10.12,9.98,-1.38,-1.38,0,2,"形态: 两连阴 (-2.29%, -0.88%)"
002301,2026-04-22,6.77,6.83,0.89,10.04,1,4,"形态: 两连阴 (-1.03%, -0.45%)"
002301,2026-04-24,7.17,6.83,-4.74,0.0,0,2,量能: 放量 (2.52X) | 形态: 10日内有涨停 | 趋势: 高于MA20
002806,2026-04-03,13.06,13.77,5.44,12.48,1,16,动量: 突破转强 (阳线上穿5/10)
002806,2026-04-10,14.69,13.77,-6.26,-1.09,0,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002806,2026-04-22,14.53,13.77,-5.23,-2.34,0,4,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002806,2026-04-24,14.19,13.77,-2.96,-0.85,0,2,趋势: 高于MA20
600063,2026-04-10,7.23,6.96,-3.73,1.66,0,12,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600063,2026-04-22,7.03,6.96,-1.0,0.28,0,4,趋势: 高于MA20
603178,2026-04-10,15.52,18.31,17.98,36.34,1,12,动量: 突破转强 (阳线上穿5/10)
603178,2026-04-22,21.16,18.31,-13.47,-9.83,0,4,量能: 放量 (2.22X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603178,2026-04-24,17.17,18.31,6.64,6.64,1,2,形态: 10日内有涨停 | 趋势: 高于MA20
000886,2026-04-10,5.72,5.58,-2.45,1.57,0,12,动量: 突破转强 (阳线上穿5/10)
000886,2026-04-24,5.63,5.58,-0.89,0.36,0,2,量能: 放量 (1.70X)
600333,2026-04-03,5.1,5.9,15.69,15.69,1,16,"量能: 放量 (1.59X) | 形态: 两连阴 (-1.08%, -0.18%)"
600333,2026-04-02,5.51,5.9,7.08,7.08,1,17,"形态: 两连阴 (-3.29%, -1.08%)"
600333,2026-04-22,5.34,5.9,10.49,10.49,1,4,动量: 突破转强 (阳线上穿5/10)
600333,2026-04-24,5.56,5.9,6.12,6.12,1,2,量能: 放量 (2.07X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600857,2026-04-10,11.94,12.19,2.09,3.69,1,12,动量: 突破转强 (阳线上穿5/10)
600857,2026-04-22,11.99,12.19,1.67,3.25,1,4,趋势: 高于MA20
600857,2026-04-24,12.03,12.19,1.33,2.91,1,2,"形态: 两连阴 (-1.32%, -0.67%) | 趋势: 高于MA20"
600857,2026-03-31,11.84,12.19,2.96,4.56,1,19,量能: 放量 (1.50X)
600028,2026-04-02,5.95,5.35,-10.08,-0.67,0,17,动量: 突破转强 (阳线上穿5/10)
600028,2026-04-10,5.81,5.35,-7.92,0.34,0,12,"形态: 两连阴 (-0.34%, -0.85%)"
600028,2026-04-22,5.44,5.35,-1.65,0.18,0,4,"形态: 两连阴 (-0.54%, -0.54%)"
605222,2026-04-03,22.37,34.28,53.24,53.24,1,16,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
605222,2026-04-02,22.93,34.28,49.5,49.5,1,17,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
605222,2026-04-10,24.65,34.28,39.07,39.07,1,12,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.75X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605222,2026-04-22,34.06,34.28,0.65,0.65,1,4,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605222,2026-04-24,33.44,34.28,2.51,2.51,1,2,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605222,2026-03-31,22.96,34.28,49.3,49.3,1,19,量能: 放量 (1.92X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600960,2026-04-10,5.27,5.07,-3.8,1.14,0,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600960,2026-04-22,5.16,5.07,-1.74,-1.36,0,4,趋势: 高于MA20
002512,2026-04-03,3.72,3.91,5.11,17.74,1,16,"形态: 两连阴 (-0.25%, -5.03%)"
002512,2026-04-10,3.95,3.91,-1.01,10.89,0,12,动量: 突破转强 (阳线上穿5/10)
002512,2026-04-22,4.17,3.91,-6.24,-1.2,0,4,趋势: 高于MA20
002512,2026-04-24,4.07,3.91,-3.93,1.23,0,2,"形态: 两连阴 (-4.79%, -1.92%) | 趋势: 高于MA20"
002512,2026-03-31,3.99,3.91,-2.01,9.77,0,19,"形态: 两连阴 (-3.41%, -0.76%)"
605069,2026-04-10,12.36,14.26,15.37,15.37,1,12,量能: 放量 (1.70X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605069,2026-04-22,13.68,14.26,4.24,4.24,1,4,形态: 10日内有涨停 | 趋势: 高于MA20
605069,2026-04-24,14.04,14.26,1.57,1.57,1,2,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002103,2026-04-10,8.51,7.91,-7.05,-2.94,0,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
