代码,名称,单阳日期,已洗盘天数,今日收盘
600452,涪陵电力,2026-02-10,5,12.05
002012,凯恩股份,2026-02-11,4,7.38
002519,银河电子,2026-02-10,5,10.7
000571,新大洲A,2026-02-10,5,7.45
605555,德昌股份,2026-02-10,5,18.37
603876,鼎胜新材,2026-02-11,4,19.73
600295,鄂尔多斯,2026-02-11,4,16.34
603328,依顿电子,2026-02-10,5,13.21
001217,华尔泰,2026-02-10,5,14.83
603618,杭电股份,2026-02-11,4,15.14
002810,山东赫达,2026-02-11,4,19.68
002215,诺 普 信,2026-02-10,5,12.05
600668,尖峰集团,2026-02-10,5,11.59
002340,格林美,2026-02-11,4,9.84
600326,西藏天路,2026-02-10,5,11.3
000582,北部湾港,2026-02-11,4,10.6
002196,方正电机,2026-02-10,5,17.18
000850,华茂股份,2026-02-11,4,5.84
603162,海通发展,2026-02-10,5,15.22
000829,天音控股,2026-02-10,5,10.82
600079,人福医药,2025-12-19,4,18.85
002806,华锋股份,2026-02-10,5,16.5
002440,闰土股份,2026-02-10,5,14.96
002634,棒杰股份,2026-02-10,5,7.21
600207,安彩高科,2026-02-10,5,5.42
600299,安迪苏,2026-02-11,4,10.47
000612,焦作万方,2026-02-11,4,14.39
