代码,名称,信号日期,策略类型,信号价,T+1开盘,当前价,累计收益,最高冲击,最大回撤,持仓天数,状态,最新数据日
002536,飞龙股份,20251221,E_Leader_Restart (二次启动),28.68,29.3,30.4,6.00%,10.01%,0.03%,1,涨,2025-12-22
603123,翠微股份,20251221,E_Leader_Restart (二次启动),13.98,14.0,14.23,1.79%,3.72%,-2.93%,1,涨,2025-12-22
002355,兴民智通,20251221,E_Leader_Restart (二次启动),6.43,6.5,6.36,-1.09%,2.49%,-1.40%,1,跌,2025-12-22
603221,爱丽家居,20251221,E_Leader_Restart (二次启动),13.55,13.48,13.36,-1.40%,1.03%,-2.07%,1,跌,2025-12-22
002985,北摩高科,20251221,E_Leader_Restart (二次启动),31.28,31.29,30.68,-1.92%,0.32%,-2.56%,1,跌,2025-12-22
600605,汇通能源,20251221,B_Low_Position_Start (低风险埋伏),30.12,30.1,29.37,-2.49%,0.17%,-2.99%,1,跌,2025-12-22
603703,盛洋科技,20251221,E_Leader_Restart (二次启动),14.75,14.75,13.97,-5.29%,1.49%,-5.69%,1,跌,2025-12-22
002536,飞龙股份,20251220,E_Leader_Restart (二次启动),28.68,29.3,30.4,6.00%,10.01%,0.03%,1,涨,2025-12-22
603123,翠微股份,20251220,E_Leader_Restart (二次启动),13.98,14.0,14.23,1.79%,3.72%,-2.93%,1,涨,2025-12-22
002355,兴民智通,20251220,E_Leader_Restart (二次启动),6.43,6.5,6.36,-1.09%,2.49%,-1.40%,1,跌,2025-12-22
603221,爱丽家居,20251220,E_Leader_Restart (二次启动),13.55,13.48,13.36,-1.40%,1.03%,-2.07%,1,跌,2025-12-22
002985,北摩高科,20251220,E_Leader_Restart (二次启动),31.28,31.29,30.68,-1.92%,0.32%,-2.56%,1,跌,2025-12-22
600605,汇通能源,20251220,B_Low_Position_Start (低风险埋伏),30.12,30.1,29.37,-2.49%,0.17%,-2.99%,1,跌,2025-12-22
603703,盛洋科技,20251220,E_Leader_Restart (二次启动),14.75,14.75,13.97,-5.29%,1.49%,-5.69%,1,跌,2025-12-22
000546,金圆股份,20251219,E_Leader_Restart (二次启动),6.8,7.47,7.79,14.56%,20.74%,6.62%,1,涨,2025-12-22
001317,三羊马,20251219,E_Leader_Restart (二次启动),53.5,56.0,58.07,8.54%,11.27%,3.03%,1,涨,2025-12-22
603057,紫燕食品,20251219,B_Low_Position_Start (低风险埋伏),18.97,19.14,19.68,3.74%,3.80%,-0.84%,1,涨,2025-12-22
002871,伟隆股份,20251219,A_Strong_Pullback (中风险接力),15.74,16.15,15.89,0.95%,2.99%,0.38%,1,涨,2025-12-22
603057,紫燕食品,20251218,B_Low_Position_Start (低风险埋伏),18.97,18.84,19.68,3.74%,3.80%,-0.84%,2,涨,2025-12-22
000716,黑芝麻,20251218,E_Leader_Restart (二次启动),6.55,6.56,6.65,1.53%,2.75%,-1.98%,2,涨,2025-12-22
002871,伟隆股份,20251218,A_Strong_Pullback (中风险接力),15.74,16.0,15.89,0.95%,5.02%,0.38%,2,涨,2025-12-22
601366,利群股份,20251217,B_Low_Position_Start (低风险埋伏),4.99,5.35,5.72,14.63%,29.46%,4.41%,3,涨,2025-12-22
600721,百花医药,20251217,A_Strong_Pullback (中风险接力),10.45,10.5,11.15,6.70%,11.20%,-1.34%,3,涨,2025-12-22
605005,合兴股份,20251217,A_Strong_Pullback (中风险接力),19.66,19.5,20.72,5.39%,5.80%,-1.12%,3,涨,2025-12-22
002383,合众思壮,20251217,C_New_Strategy (最高共振),10.62,10.42,10.91,2.73%,8.10%,-3.01%,3,涨,2025-12-22
001318,阳光乳业,20251217,A_Strong_Pullback (中风险接力),16.67,16.56,16.73,0.36%,3.54%,-3.00%,3,涨,2025-12-22
600113,浙江东日,20251217,E_Leader_Restart (二次启动),61.5,62.0,61.64,0.23%,4.81%,-5.22%,3,涨,2025-12-22
000950,重药控股,20251217,E_Leader_Restart (二次启动),6.58,6.43,6.59,0.15%,7.60%,-2.74%,3,涨,2025-12-22
605339,南侨食品,20251217,A_Strong_Pullback (中风险接力),21.67,21.25,20.58,-5.03%,0.23%,-6.51%,3,跌,2025-12-22
600990,四创电子,20251216,E_Leader_Restart (二次启动),30.4,29.3,31.85,4.77%,9.54%,-9.18%,4,涨,2025-12-22
600990,四创电子,20251216,E_Leader_Restart (二次启动),30.4,29.3,31.85,4.77%,9.54%,-9.18%,4,涨,2025-12-22
002827,高争民爆,20251216,B_Low_Position_Start (低风险埋伏),36.39,35.68,37.61,3.35%,5.69%,-2.14%,4,涨,2025-12-22
002827,高争民爆,20251216,B_Low_Position_Start (低风险埋伏),36.39,35.68,37.61,3.35%,5.69%,-2.14%,4,涨,2025-12-22
603031,安孚科技,20251216,E_Leader_Restart (二次启动),42.8,39.3,43.93,2.64%,4.09%,-9.84%,4,涨,2025-12-22
603031,安孚科技,20251216,E_Leader_Restart (二次启动),42.8,39.3,43.93,2.64%,4.09%,-9.84%,4,涨,2025-12-22
600212,绿能慧充,20251216,B_Low_Position_Start (低风险埋伏),8.61,8.12,8.4,-2.44%,-1.63%,-8.25%,4,跌,2025-12-22
600212,绿能慧充,20251216,B_Low_Position_Start (低风险埋伏),8.61,8.12,8.4,-2.44%,-1.63%,-8.25%,4,跌,2025-12-22
002347,泰尔股份,20251216,E_Leader_Restart (二次启动),8.07,7.81,7.82,-3.10%,0.62%,-5.20%,4,跌,2025-12-22
002347,泰尔股份,20251216,E_Leader_Restart (二次启动),8.07,7.81,7.82,-3.10%,0.62%,-5.20%,4,跌,2025-12-22
002752,昇兴股份,20251216,A_Strong_Pullback (中风险接力),8.18,7.04,7.3,-10.76%,-9.05%,-19.56%,4,跌,2025-12-22
002752,昇兴股份,20251216,A_Strong_Pullback (中风险接力),8.18,7.04,7.3,-10.76%,-9.05%,-19.56%,4,跌,2025-12-22
002235,安妮股份,20251216,E_Leader_Restart (二次启动),13.0,11.2,10.74,-17.38%,-11.23%,-21.85%,4,跌,2025-12-22
002235,安妮股份,20251216,E_Leader_Restart (二次启动),13.0,11.2,10.74,-17.38%,-11.23%,-21.85%,4,跌,2025-12-22
002579,中京电子,20251215,A_Strong_Pullback (中风险接力),11.89,11.83,11.96,0.59%,1.68%,-4.88%,5,涨,2025-12-22
601799,星宇股份,20251215,A_Strong_Pullback (中风险接力),127.06,126.43,124.01,-2.40%,0.32%,-3.20%,5,跌,2025-12-22
002725,跃岭股份,20251215,E_Leader_Restart (二次启动),19.08,17.3,17.16,-10.06%,-7.44%,-15.78%,5,跌,2025-12-22
002235,安妮股份,20251215,E_Leader_Restart (二次启动),12.85,12.94,10.74,-16.42%,0.78%,-20.93%,5,跌,2025-12-22
002579,中京电子,20251214,A_Strong_Pullback (中风险接力),11.89,11.64,11.96,0.59%,1.77%,-4.88%,6,涨,2025-12-22
601799,星宇股份,20251214,A_Strong_Pullback (中风险接力),127.06,126.75,124.01,-2.40%,1.13%,-3.20%,6,跌,2025-12-22
002725,跃岭股份,20251214,E_Leader_Restart (二次启动),19.08,17.8,17.16,-10.06%,-5.45%,-15.78%,6,跌,2025-12-22
