触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 两连阴 (-1.88%, -3.45%) | 趋势: 高于MA20",1,30.58,33.15,100.0%
量能: 放量 (2.82X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,25.0,25.0,100.0%
"形态: 两连阴 (-2.86%, -1.62%)",1,18.35,22.25,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-6.35%, -8.17%)",1,17.56,17.56,100.0%
"形态: 两连阴 (-2.14%, -1.60%)",1,17.02,21.03,100.0%
"形态: 两连阴 (-2.62%, -0.51%)",1,13.94,18.0,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-7.35%, -3.49%)",1,11.71,11.71,100.0%
量能: 放量 (1.90X) | 形态: 10日内有涨停,1,11.7,11.7,100.0%
"形态: 两连阴 (-3.41%, -2.14%)",1,11.45,17.0,100.0%
"形态: 两连阴 (-2.43%, -5.34%)",1,10.36,10.36,100.0%
量能: 放量 (1.82X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.36,9.36,100.0%
量能: 放量 (2.25X) | 动量: 突破转强 (阳线上穿5/10),1,9.34,11.95,100.0%
"形态: 两连阴 (-0.54%, -2.24%)",1,9.29,9.29,100.0%
"形态: 两连阴 (-0.59%, -2.26%)",1,9.23,9.23,100.0%
"形态: 两连阴 (-4.99%, -10.00%)",1,8.65,8.65,100.0%
"形态: 两连阴 (-2.27%, -0.22%) | 趋势: 高于MA20",1,8.46,8.46,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.70%, -3.81%)",1,8.13,8.13,100.0%
量能: 放量 (3.39X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,7.91,10.03,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.39%, -4.28%)",1,7.56,21.02,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.65%, -1.32%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,7.55,7.55,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.03%, -3.49%)",1,7.29,7.29,100.0%
"形态: 两连阴 (-0.87%, -3.50%)",1,7.12,10.42,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.32%, -2.37%) | 趋势: 高于MA20",1,6.92,9.98,100.0%
"形态: 两连阴 (-0.43%, -1.95%)",1,6.46,13.86,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.14%, -2.36%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,6.11,8.15,100.0%
"形态: 两连阴 (-3.32%, -5.61%)",1,6.06,6.06,100.0%
"形态: 两连阴 (-5.11%, -1.58%)",1,5.85,6.46,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.78%, -1.67%)",1,5.52,5.52,100.0%
"形态: 两连阴 (-6.16%, -1.99%)",1,5.34,14.43,100.0%
量能: 放量 (1.73X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,5.23,5.23,100.0%
量能: 放量 (2.25X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.14,5.14,100.0%
"形态: 两连阴 (-2.87%, -2.87%)",1,5.13,5.13,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.30%, -1.05%) | 趋势: 高于MA20",1,5.12,5.12,100.0%
"形态: 两连阴 (-1.90%, -0.97%)",1,5.09,9.15,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.63%, -5.00%)",1,5.05,18.2,100.0%
"形态: 两连阴 (-2.04%, -0.58%) | 动量: 突破转强 (阳线上穿5/10)",1,4.84,4.84,100.0%
"形态: 两连阴 (-0.43%, -1.29%)",1,4.78,4.78,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.35%, -7.30%) | 趋势: 高于MA20",1,4.67,4.67,100.0%
量能: 放量 (1.65X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,4.52,4.52,100.0%
"形态: 两连阴 (-3.43%, -2.17%)",1,4.31,8.43,100.0%
量能: 放量 (1.56X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.97,10.0,100.0%
"形态: 两连阴 (-1.89%, -0.18%)",1,3.73,7.03,100.0%
"形态: 两连阴 (-0.33%, -1.16%)",1,3.56,4.41,100.0%
"形态: 两连阴 (-0.19%, -3.45%)",1,3.43,7.96,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.45%, -1.39%) | 动量: 突破转强 (阳线上穿5/10)",1,3.32,21.04,100.0%
"形态: 两连阴 (-6.86%, -6.06%)",1,3.3,3.3,100.0%
"形态: 两连阴 (-0.14%, -0.14%)",1,3.27,4.69,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-6.49%, -6.76%) | 趋势: 高于MA20",1,3.06,3.06,100.0%
"形态: 两连阴 (-1.40%, -4.49%) | 趋势: 高于MA20",1,2.93,2.93,100.0%
"形态: 两连阴 (-0.26%, -1.72%)",1,2.86,6.38,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-9.46%, -6.84%)",1,2.85,2.85,100.0%
"形态: 两连阴 (-1.95%, -5.31%)",1,2.84,2.84,100.0%
"量能: 放量 (2.08X) | 形态: 两连阴 (-4.96%, -5.04%)",1,2.84,10.2,100.0%
"形态: 两连阴 (-0.45%, -0.68%)",1,2.73,5.8,100.0%
"形态: 两连阴 (-1.18%, -0.32%)",1,2.72,6.77,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.10%, -8.48%)",1,2.67,2.67,100.0%
"形态: 两连阴 (-0.17%, -3.61%)",1,2.56,2.93,100.0%
"形态: 两连阴 (-6.20%, -2.68%)",1,2.52,2.52,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.72%, -4.10%) | 趋势: 高于MA20",1,2.51,6.01,100.0%
"形态: 两连阴 (-1.00%, -2.13%)",1,2.46,2.46,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.19%, -1.91%)",1,2.2,2.2,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.18%, -4.46%) | 趋势: 高于MA20",1,2.02,2.02,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.50%, -3.96%) | 趋势: 高于MA20",1,1.98,1.98,100.0%
"形态: 两连阴 (-1.39%, -3.53%)",1,1.91,2.5,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.65%, -4.20%)",1,1.89,1.89,100.0%
"形态: 两连阴 (-2.29%, -2.63%)",1,1.87,1.87,100.0%
量能: 放量 (1.54X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.82,1.82,100.0%
"形态: 两连阴 (-1.48%, -3.95%)",1,1.77,6.1,100.0%
"形态: 两连阴 (-1.04%, -3.47%)",1,1.58,1.58,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.98X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,1.4,1.4,100.0%
"形态: 两连阴 (-0.16%, -3.40%)",1,1.39,1.39,100.0%
"形态: 两连阴 (-8.36%, -3.39%)",1,1.25,1.25,100.0%
量能: 放量 (1.51X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,1.25,5.625,50.0%
"形态: 两连阴 (-19.16%, -0.96%)",1,1.15,3.45,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.58%, -0.15%) | 趋势: 高于MA20",1,1.1,1.1,100.0%
