代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
003042,2026-04-30,17.09,16.71,-2.22,1.7,0,9,动量: 突破转强 (阳线上穿5/10)
003042,2026-05-06,17.15,16.71,-2.57,1.34,0,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
003042,2026-05-15,16.65,16.71,0.36,0.36,1,1,"形态: 两连阴 (-0.06%, -1.24%)"
002237,2026-04-30,16.61,14.86,-10.54,3.19,0,9,趋势: 高于MA20
002237,2026-05-06,17.05,14.86,-12.84,0.53,0,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603022,2026-04-30,11.3,11.49,1.68,3.45,1,9,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603022,2026-05-06,11.46,11.49,0.26,2.01,1,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603022,2026-05-15,11.36,11.49,1.14,1.14,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
000862,2026-04-30,6.47,7.11,9.89,16.38,1,9,趋势: 高于MA20
000862,2026-05-06,6.79,7.11,4.71,10.9,1,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000862,2026-05-15,6.95,7.11,2.3,2.3,1,1,趋势: 高于MA20
000407,2026-04-30,4.84,4.66,-3.72,-1.86,0,9,量能: 放量 (1.83X) | 趋势: 高于MA20
000407,2026-05-06,4.75,4.66,-1.89,-1.68,0,8,趋势: 高于MA20
002669,2026-04-30,13.47,13.78,2.3,6.9,1,9,"形态: 两连阴 (-2.79%, -2.87%) | 趋势: 高于MA20"
002669,2026-05-06,13.54,13.78,1.77,6.35,1,8,"形态: 两连阴 (-2.87%, -0.59%) | 趋势: 高于MA20"
002669,2026-05-15,14.08,13.78,-2.13,-2.13,0,1,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.92X) | 趋势: 高于MA20
002345,2026-04-30,10.57,9.53,-9.84,-0.09,0,9,量能: 放量 (2.22X)
000948,2026-05-06,15.17,14.8,-2.44,1.98,0,8,量能: 放量 (1.51X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600802,2026-04-30,5.66,5.55,-1.94,3.89,0,9,动量: 突破转强 (阳线上穿5/10)
600802,2026-05-06,5.75,5.55,-3.48,2.26,0,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600643,2026-05-06,4.88,4.73,-3.07,2.87,0,8,动量: 突破转强 (阳线上穿5/10)
603356,2026-04-30,19.1,19.43,1.73,6.02,1,9,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603356,2026-05-06,19.08,19.43,1.83,6.13,1,8,趋势: 高于MA20
603356,2026-05-15,19.91,19.43,-2.41,-2.41,0,1,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.40%, -0.60%) | 趋势: 高于MA20"
600051,2026-04-30,7.77,7.48,-3.73,1.93,0,9,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600051,2026-05-06,7.86,7.48,-4.83,0.76,0,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002277,2026-04-30,6.17,6.44,4.38,9.24,1,9,量能: 放量 (1.86X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002277,2026-05-06,6.22,6.44,3.54,8.36,1,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002277,2026-05-15,6.54,6.44,-1.53,-1.53,0,1,量能: 放量 (1.82X) | 形态: 10日内有涨停 | 趋势: 高于MA20
603335,2026-04-30,7.07,7.23,2.26,7.21,1,9,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
603335,2026-05-06,7.05,7.23,2.55,7.52,1,8,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
603335,2026-05-15,7.33,7.23,-1.36,-1.36,0,1,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.81%, -0.41%) | 趋势: 高于MA20"
600191,2026-04-30,12.7,10.93,-13.94,1.26,0,9,趋势: 高于MA20
600191,2026-05-06,12.79,10.93,-14.54,0.55,0,8,趋势: 高于MA20
000953,2026-04-30,6.99,7.06,1.0,1.72,1,9,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000953,2026-05-06,6.95,7.06,1.58,2.3,1,8,趋势: 高于MA20
000953,2026-05-15,7.1,7.06,-0.56,-0.56,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600028,2026-05-15,5.13,5.14,0.19,0.19,1,1,"形态: 两连阴 (-0.58%, -0.39%)"
600510,2026-04-30,11.06,9.23,-16.55,4.7,0,9,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.27%, -0.99%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
600510,2026-05-06,11.24,9.23,-17.88,3.02,0,8,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600510,2026-05-15,10.02,9.23,-7.88,-7.88,0,1,"形态: 10日内有涨停 | 形态: 两连阴 (-7.23%, -4.00%)"
002131,2026-04-30,6.45,6.9,6.98,9.77,1,9,"形态: 两连阴 (-3.24%, -0.15%)"
002131,2026-05-06,6.82,6.9,1.17,3.81,1,8,"形态: 两连阴 (-0.15%, -1.83%)"
000058,2026-04-30,8.2,7.92,-3.41,3.05,0,9,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000058,2026-05-06,8.23,7.92,-3.77,2.67,0,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000058,2026-05-15,7.93,7.92,-0.13,-0.13,0,1,"形态: 两连阴 (-0.60%, -2.05%)"
000950,2026-05-06,5.87,6.44,9.71,16.01,1,8,"形态: 两连阴 (-0.84%, -1.69%)"
000950,2026-05-15,6.68,6.44,-3.59,-3.59,0,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
002806,2026-04-30,14.08,14.83,5.33,7.95,1,9,趋势: 高于MA20
002806,2026-05-06,14.31,14.83,3.63,6.22,1,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002806,2026-05-15,14.67,14.83,1.09,1.09,1,1,趋势: 高于MA20
002596,2026-04-30,3.76,3.9,3.72,7.18,1,9,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002596,2026-05-06,3.83,3.9,1.83,5.22,1,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002596,2026-05-15,3.92,3.9,-0.51,-0.51,0,1,趋势: 高于MA20
002097,2026-05-06,10.02,9.51,-5.09,2.69,0,8,"形态: 两连阴 (-0.30%, -0.80%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
603889,2026-04-30,8.71,7.96,-8.61,-0.34,0,9,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
603889,2026-05-06,8.42,7.96,-5.46,3.09,0,8,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.76X)
603889,2026-05-15,8.23,7.96,-3.28,-3.28,0,1,"形态: 两连阴 (-2.31%, -2.37%)"
600233,2026-04-30,21.5,19.78,-8.0,-0.09,0,9,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
600233,2026-05-06,21.48,19.78,-7.91,-0.61,0,8,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
600233,2026-05-15,20.28,19.78,-2.47,-2.47,0,1,"形态: 两连阴 (-1.95%, -1.02%)"
600515,2026-04-30,3.61,3.29,-8.86,-1.66,0,9,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002582,2026-04-30,12.55,12.14,-3.27,1.59,0,9,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.87%, -1.11%) | 趋势: 高于MA20"
002582,2026-05-06,12.75,12.14,-4.78,-1.25,0,8,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601118,2026-04-30,7.19,7.34,2.09,8.62,1,9,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601118,2026-05-06,7.39,7.34,-0.68,5.68,0,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601118,2026-05-15,7.2,7.34,1.94,1.94,1,1,趋势: 高于MA20
603738,2026-04-30,38.32,54.0,40.92,45.04,1,9,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
603738,2026-05-06,38.85,54.0,39.0,43.06,1,8,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603738,2026-05-15,55.58,54.0,-2.84,-2.84,0,1,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.52%, -1.89%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
000505,2026-04-30,6.61,6.55,-0.91,8.17,0,9,动量: 突破转强 (阳线上穿5/10)
000505,2026-05-06,6.69,6.55,-2.09,6.88,0,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002879,2026-04-30,17.98,17.78,-1.11,5.78,0,9,"形态: 两连阴 (-10.01%, -2.62%)"
002879,2026-05-06,17.78,17.78,0.0,6.97,0,8,"形态: 两连阴 (-2.62%, -3.12%)"
002763,2026-04-30,9.41,8.41,-10.63,5.74,0,9,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.80X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002763,2026-05-06,9.33,8.41,-9.86,6.65,0,8,趋势: 多头排列 (5>20>60) | 量能: 放量 (2.02X) | 形态: 10日内有涨停 | 趋势: 高于MA20
002763,2026-05-15,8.22,8.41,2.31,2.31,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停
