代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
600618,2026-04-30,12.87,12.76,-0.85,-0.85,0,1,趋势: 高于MA20
600629,2026-04-30,20.4,21.31,4.46,4.46,1,1,"形态: 两连阴 (-1.28%, -0.40%)"
000863,2026-04-30,4.85,5.34,10.1,10.1,1,1,动量: 突破转强 (阳线上穿5/10)
603730,2026-04-30,10.94,10.93,-0.09,-0.09,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600846,2026-04-30,12.76,12.79,0.24,0.24,1,1,趋势: 高于MA20
600198,2026-04-30,8.4,8.56,1.9,1.9,1,1,趋势: 高于MA20
002044,2026-04-30,5.43,5.97,9.94,9.94,1,1,量能: 放量 (2.81X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605066,2026-04-30,8.06,8.01,-0.62,-0.62,0,1,量能: 放量 (2.28X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600769,2026-04-30,16.0,16.57,3.56,3.56,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002921,2026-04-30,29.74,30.46,2.42,2.42,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603871,2026-04-30,12.74,12.71,-0.24,-0.24,0,1,"形态: 两连阴 (-0.59%, -0.60%)"
000600,2026-04-30,9.52,9.65,1.37,1.37,1,1,趋势: 高于MA20
600191,2026-04-30,12.7,12.79,0.71,0.71,1,1,趋势: 高于MA20
002187,2026-04-30,6.19,6.17,-0.32,-0.32,0,1,动量: 突破转强 (阳线上穿5/10)
000567,2026-04-30,6.67,6.64,-0.45,-0.45,0,1,量能: 放量 (3.21X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000048,2026-04-30,14.74,14.67,-0.47,-0.47,0,1,动量: 突破转强 (阳线上穿5/10)
001914,2026-04-30,10.25,10.58,3.22,3.22,1,1,趋势: 高于MA20
002999,2026-04-30,7.27,7.25,-0.28,-0.28,0,1,"形态: 10日内有涨停 | 形态: 两连阴 (-0.68%, -0.14%) | 趋势: 高于MA20"
603012,2026-04-30,8.66,8.75,1.04,1.04,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
000957,2026-04-30,11.93,12.03,0.84,0.84,1,1,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.41%, -0.90%) | 趋势: 高于MA20"
603073,2026-04-30,21.0,20.61,-1.86,-1.86,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600051,2026-04-30,7.77,7.86,1.16,1.16,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002910,2026-04-30,11.31,11.41,0.88,0.88,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002331,2026-04-30,9.27,9.35,0.86,0.86,1,1,形态: 10日内有涨停 | 趋势: 高于MA20
600366,2026-04-30,13.27,13.47,1.51,1.51,1,1,趋势: 高于MA20
002319,2026-04-30,11.74,11.88,1.19,1.19,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600596,2026-04-30,12.49,12.45,-0.32,-0.32,0,1,趋势: 高于MA20
603015,2026-04-30,11.79,11.96,1.44,1.44,1,1,"形态: 两连阴 (-3.37%, -0.51%)"
002520,2026-04-30,5.93,5.99,1.01,1.01,1,1,量能: 放量 (2.38X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600218,2026-04-30,9.66,9.79,1.35,1.35,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002565,2026-04-30,19.02,19.2,0.95,0.95,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
603890,2026-04-30,18.87,18.95,0.42,0.42,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
002340,2026-04-30,9.14,9.35,2.3,2.3,1,1,趋势: 高于MA20
600560,2026-04-30,14.53,14.53,0.0,0.0,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603648,2026-04-30,10.16,10.19,0.3,0.3,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002279,2026-04-30,7.52,7.66,1.86,1.86,1,1,量能: 放量 (1.84X)
002161,2026-04-30,6.74,6.86,1.78,1.78,1,1,"形态: 两连阴 (-1.94%, -0.42%)"
600151,2026-04-30,14.51,15.18,4.62,4.62,1,1,趋势: 高于MA20
600901,2026-04-30,6.9,6.69,-3.04,-3.04,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
603815,2026-04-30,7.28,7.4,1.65,1.65,1,1,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600215,2026-04-30,6.84,6.99,2.19,2.19,1,1,"量能: 放量 (2.16X) | 形态: 两连阴 (-2.99%, -0.31%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002802,2026-04-30,13.9,14.2,2.16,2.16,1,1,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.03%, -0.90%)"
603876,2026-04-30,29.76,32.55,9.37,9.37,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002245,2026-04-30,20.66,22.73,10.02,10.02,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
002125,2026-04-30,15.27,15.6,2.16,2.16,1,1,量能: 放量 (2.18X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000862,2026-04-30,6.47,6.79,4.95,4.95,1,1,趋势: 高于MA20
002453,2026-04-30,5.61,6.17,9.98,9.98,1,1,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603332,2026-04-30,14.34,14.37,0.21,0.21,1,1,"形态: 10日内有涨停 | 形态: 两连阴 (-0.70%, -1.20%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002583,2026-04-30,9.94,10.04,1.01,1.01,1,1,量能: 放量 (1.57X)
600058,2026-04-30,11.12,11.28,1.44,1.44,1,1,趋势: 高于MA20
000701,2026-04-30,5.93,6.1,2.87,2.87,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600359,2026-04-30,7.62,7.79,2.23,2.23,1,1,量能: 放量 (1.77X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002337,2026-04-30,6.24,6.32,1.28,1.28,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600965,2026-04-30,3.81,3.62,-4.99,-4.99,0,1,"形态: 两连阴 (-10.00%, -9.93%)"
002254,2026-04-30,11.34,11.57,2.03,2.03,1,1,量能: 放量 (1.69X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603803,2026-04-30,14.3,14.79,3.43,3.43,1,1,形态: 10日内有涨停
605122,2026-04-30,14.72,14.65,-0.48,-0.48,0,1,"量能: 放量 (1.64X) | 形态: 两连阴 (-0.43%, -0.14%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
600768,2026-04-30,18.88,18.86,-0.11,-0.11,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603985,2026-04-30,26.12,28.73,9.99,9.99,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
000802,2026-04-30,4.31,4.74,9.98,9.98,1,1,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600302,2026-04-30,9.54,9.06,-5.03,-5.03,0,1,"形态: 两连阴 (-0.10%, -0.21%)"
600552,2026-04-30,15.54,15.92,2.45,2.45,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601789,2026-04-30,5.89,6.15,4.41,4.41,1,1,形态: 10日内有涨停 | 趋势: 高于MA20
