代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
601677,2026-05-22,19.21,18.69,-2.71,2.13,0,5,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601677,2026-05-06,17.83,18.69,4.82,10.04,1,17,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
601677,2026-05-15,17.02,18.69,9.81,15.28,1,10,"形态: 两连阴 (-0.67%, -1.51%)"
601677,2026-04-30,17.75,18.69,5.3,10.54,1,18,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
601677,2026-05-18,16.95,18.69,10.27,15.75,1,9,"形态: 两连阴 (-1.51%, -3.30%)"
000626,2026-05-06,9.2,7.45,-19.02,2.5,0,17,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
000626,2026-05-15,8.57,7.45,-13.07,-2.57,0,10,"形态: 两连阴 (-1.77%, -3.71%)"
000626,2026-04-30,9.35,7.45,-20.32,0.86,0,18,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002769,2026-05-22,8.45,7.74,-8.4,-5.09,0,5,"形态: 两连阴 (-0.67%, -4.28%)"
002769,2026-05-18,8.99,7.74,-13.9,-0.56,0,9,"形态: 两连阴 (-2.16%, -0.88%)"
600397,2026-05-22,13.34,13.94,4.5,4.57,1,5,"形态: 两连阴 (-4.15%, -3.04%)"
600397,2026-05-06,14.62,13.94,-4.65,5.06,0,17,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600397,2026-05-15,13.94,13.94,0.0,0.14,0,10,形态: 10日内有涨停
600397,2026-04-30,14.35,13.94,-2.86,7.04,0,18,形态: 10日内有涨停
600397,2026-05-18,13.96,13.94,-0.14,-0.07,0,9,"形态: 两连阴 (-5.43%, -2.31%)"
002491,2026-05-22,22.8,23.93,4.96,4.96,1,5,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
002491,2026-05-06,17.07,23.93,40.19,57.88,1,17,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002491,2026-05-15,22.59,23.93,5.93,6.91,1,10,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
