触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.09X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,20.98,20.98,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.39%, -1.39%) | 趋势: 高于MA20",1,17.6,17.6,100.0%
"形态: 两连阴 (-0.29%, -0.98%)",1,12.5,12.5,100.0%
"形态: 两连阴 (-3.24%, -1.48%)",1,11.32,11.32,100.0%
"形态: 两连阴 (-2.64%, -0.68%)",1,10.27,10.27,100.0%
"形态: 两连阴 (-2.96%, -4.99%)",1,10.26,10.26,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.59X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.95,9.95,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-10.01%, -10.01%)",1,9.79,9.79,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.50X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.47,9.47,100.0%
"形态: 两连阴 (-2.17%, -9.67%)",1,9.33,9.99,100.0%
"形态: 两连阴 (-0.76%, -3.38%)",1,8.88,8.88,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.83%, -0.40%)",1,8.63,10.04,100.0%
"形态: 两连阴 (-2.99%, -4.09%)",1,8.4,8.4,100.0%
"形态: 两连阴 (-4.34%, -2.88%)",1,7.86,7.86,100.0%
"形态: 两连阴 (-2.50%, -2.65%)",1,7.28,10.0,100.0%
"量能: 放量 (1.92X) | 形态: 两连阴 (-2.28%, -0.54%)",1,7.12,7.12,100.0%
"形态: 两连阴 (-2.04%, -0.75%)",1,6.8,6.8,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.88%, -3.95%) | 趋势: 高于MA20",1,6.28,6.28,100.0%
"形态: 两连阴 (-1.72%, -0.79%)",1,6.16,6.16,100.0%
量能: 放量 (1.65X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,6.14,6.14,100.0%
量能: 放量 (1.52X) | 动量: 突破转强 (阳线上穿5/10),1,6.13,6.13,100.0%
"形态: 两连阴 (-1.33%, -0.77%)",1,5.94,5.94,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.69%, -1.79%) | 趋势: 高于MA20",1,5.9,5.9,100.0%
"形态: 两连阴 (-10.00%, -10.04%)",1,5.82,5.82,100.0%
"形态: 两连阴 (-4.15%, -1.62%)",1,5.76,9.98,100.0%
"形态: 两连阴 (-3.12%, -2.31%)",1,5.71,5.71,100.0%
"形态: 两连阴 (-3.68%, -0.37%)",1,5.59,5.59,100.0%
"形态: 两连阴 (-1.51%, -1.19%)",1,5.45,5.45,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.61%, -3.38%) | 趋势: 高于MA20",1,5.3,5.3,100.0%
量能: 放量 (2.80X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.29,5.29,100.0%
"形态: 两连阴 (-4.30%, -0.15%)",1,4.94,10.03,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.00%, -2.64%)",1,4.55,10.04,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.49%, -5.62%)",1,4.43,4.85,100.0%
量能: 放量 (1.64X),1,4.4,9.99,100.0%
"形态: 两连阴 (-1.99%, -0.98%)",1,4.37,4.71,100.0%
"形态: 两连阴 (-0.60%, -0.49%)",1,4.2,4.2,100.0%
"量能: 放量 (1.69X) | 形态: 两连阴 (-5.49%, -3.01%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,4.2,10.04,100.0%
"形态: 两连阴 (-1.54%, -0.31%)",1,4.09,6.46,100.0%
"形态: 两连阴 (-2.90%, -0.43%)",1,4.08,4.08,100.0%
"形态: 两连阴 (-0.64%, -3.12%)",1,3.98,4.14,100.0%
"形态: 两连阴 (-3.52%, -1.75%)",1,3.9,3.9,100.0%
"形态: 两连阴 (-3.20%, -0.11%)",1,3.86,10.03,100.0%
"形态: 两连阴 (-4.64%, -4.29%)",1,3.83,3.83,100.0%
"形态: 两连阴 (-2.31%, -1.13%)",1,3.81,10.04,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.63X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,3.69,3.69,100.0%
"形态: 两连阴 (-1.88%, -0.36%)",1,3.61,3.68,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.51%, -0.70%)",1,3.58,5.13,100.0%
"形态: 两连阴 (-2.65%, -2.39%)",1,3.54,3.54,100.0%
"形态: 两连阴 (-2.59%, -0.85%)",1,3.52,5.9,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.07%, -4.56%)",1,3.42,3.42,100.0%
"形态: 两连阴 (-4.32%, -0.46%)",1,3.41,3.41,100.0%
"形态: 两连阴 (-5.46%, -1.04%)",1,3.36,3.36,100.0%
"形态: 两连阴 (-5.06%, -1.55%)",1,3.35,3.35,100.0%
量能: 放量 (1.53X) | 趋势: 高于MA20,1,3.28,3.28,100.0%
"形态: 两连阴 (-1.92%, -1.69%) | 动量: 突破转强 (阳线上穿5/10)",1,3.21,3.46,100.0%
"形态: 两连阴 (-3.74%, -0.09%)",1,3.1,3.1,100.0%
"形态: 两连阴 (-5.28%, -3.46%)",1,3.08,3.08,100.0%
"形态: 两连阴 (-2.81%, -0.72%)",1,3.03,4.03,100.0%
"形态: 两连阴 (-1.82%, -2.51%)",1,3.02,3.02,100.0%
"形态: 两连阴 (-3.33%, -0.89%)",1,3.02,4.41,100.0%
"形态: 两连阴 (-7.29%, -3.71%)",1,3.0,4.89,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.51%, -3.26%)",1,2.9,2.9,100.0%
"形态: 两连阴 (-6.02%, -1.83%)",1,2.87,4.95,100.0%
"形态: 两连阴 (-5.30%, -0.94%)",1,2.75,2.75,100.0%
"形态: 两连阴 (-3.74%, -4.45%)",1,2.69,2.69,100.0%
"形态: 两连阴 (-0.96%, -2.68%)",1,2.68,2.68,100.0%
趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13,2.5838461538461535,4.033076923076923,69.23%
