触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 两连阴 (-4.05%, -1.09%)",1,29.38,29.5,100.0%
"形态: 两连阴 (-2.53%, -4.77%)",1,22.17,22.17,100.0%
"形态: 两连阴 (-1.09%, -0.88%)",1,21.65,21.65,100.0%
"形态: 两连阴 (-1.88%, -3.45%) | 趋势: 高于MA20",1,20.31,33.7,100.0%
"形态: 两连阴 (-2.15%, -2.55%)",1,19.49,19.49,100.0%
"形态: 两连阴 (-2.62%, -0.51%)",1,19.26,20.03,100.0%
"形态: 两连阴 (-2.80%, -1.92%)",1,18.72,18.72,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.45%, -1.39%) | 动量: 突破转强 (阳线上穿5/10)",1,17.95,21.04,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.09%, -0.37%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,17.58,17.69,100.0%
"形态: 两连阴 (-1.92%, -0.49%)",1,17.56,17.56,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-7.35%, -3.49%)",1,16.64,16.64,100.0%
"形态: 两连阴 (-4.57%, -3.26%)",1,16.1,16.1,100.0%
"形态: 两连阴 (-2.22%, -1.59%)",1,16.05,16.05,100.0%
"形态: 两连阴 (-0.46%, -0.93%)",1,15.87,15.87,100.0%
"形态: 两连阴 (-3.13%, -1.62%)",1,15.57,15.57,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.11%, -5.16%)",1,15.32,15.32,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.98X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,14.88,14.88,100.0%
"形态: 两连阴 (-2.33%, -1.33%) | 趋势: 高于MA20",1,14.74,14.74,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.02%, -5.15%) | 趋势: 高于MA20",1,14.16,14.16,100.0%
"形态: 两连阴 (-2.55%, -3.61%)",1,14.15,14.15,100.0%
"形态: 两连阴 (-2.27%, -0.22%) | 趋势: 高于MA20",1,14.12,14.12,100.0%
"形态: 两连阴 (-3.26%, -1.96%)",1,13.73,13.73,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.16%, -0.35%) | 趋势: 高于MA20",1,13.39,13.39,100.0%
"形态: 两连阴 (-2.53%, -1.73%)",1,13.33,13.33,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-9.98%, -5.26%) | 趋势: 高于MA20",1,13.29,13.29,100.0%
"形态: 两连阴 (-2.97%, -0.68%)",1,13.23,13.23,100.0%
"形态: 两连阴 (-1.59%, -0.92%) | 动量: 突破转强 (阳线上穿5/10)",1,13.15,13.15,100.0%
"形态: 两连阴 (-3.24%, -0.71%)",1,13.14,13.14,100.0%
"形态: 两连阴 (-3.29%, -1.13%)",1,12.9,12.9,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.90%, -0.96%)",1,12.85,12.85,100.0%
"形态: 两连阴 (-4.26%, -0.48%)",1,12.26,12.26,100.0%
"形态: 两连阴 (-3.55%, -4.39%)",1,12.15,12.15,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.15%, -0.72%) | 趋势: 高于MA20",1,11.95,11.95,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.32%, -2.37%) | 趋势: 高于MA20",1,11.68,14.85,100.0%
"形态: 两连阴 (-1.96%, -1.68%)",1,11.46,11.46,100.0%
"形态: 两连阴 (-0.71%, -1.00%)",1,11.4,11.4,100.0%
"形态: 两连阴 (-1.62%, -2.09%) | 动量: 突破转强 (阳线上穿5/10)",1,11.32,11.32,100.0%
"形态: 两连阴 (-2.59%, -0.97%)",1,10.86,10.86,100.0%
"形态: 两连阴 (-4.16%, -1.74%)",1,10.7,20.96,100.0%
"形态: 两连阴 (-5.81%, -0.81%) | 趋势: 高于MA20",1,10.67,10.67,100.0%
"形态: 两连阴 (-1.99%, -2.70%)",1,10.61,10.92,100.0%
"形态: 两连阴 (-1.90%, -0.97%)",1,10.57,10.57,100.0%
"形态: 两连阴 (-2.89%, -0.41%)",1,10.36,10.36,100.0%
"形态: 两连阴 (-0.68%, -1.49%) | 动量: 突破转强 (阳线上穿5/10)",1,10.28,10.28,100.0%
"形态: 两连阴 (-3.64%, -2.84%)",1,10.15,10.15,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.43%, -3.48%)",1,9.97,9.97,100.0%
"形态: 两连阴 (-1.13%, -0.46%) | 动量: 突破转强 (阳线上穿5/10)",1,9.87,9.87,100.0%
量能: 放量 (2.22X),1,9.86,9.86,100.0%
"形态: 两连阴 (-0.48%, -1.12%)",1,9.78,9.78,100.0%
"形态: 两连阴 (-0.46%, -0.70%) | 趋势: 高于MA20",1,9.53,9.53,100.0%
"形态: 两连阴 (-2.62%, -2.56%)",1,9.42,12.81,100.0%
"形态: 两连阴 (-2.14%, -1.60%)",1,9.42,21.03,100.0%
"形态: 两连阴 (-0.22%, -2.24%)",1,9.3,9.3,100.0%
量能: 放量 (1.97X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.23,18.32,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.26%, -1.39%)",1,9.23,9.23,100.0%
"形态: 两连阴 (-0.23%, -1.81%)",1,9.13,9.13,100.0%
"形态: 两连阴 (-1.48%, -3.95%)",1,9.06,9.06,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.95%, -10.02%) | 趋势: 高于MA20",1,8.88,8.88,100.0%
"形态: 两连阴 (-5.59%, -1.05%)",1,8.87,8.87,100.0%
"形态: 两连阴 (-1.39%, -3.53%)",1,8.68,8.68,100.0%
"形态: 两连阴 (-5.78%, -3.88%)",1,8.56,8.56,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.79%, -1.44%) | 趋势: 高于MA20",1,8.4,8.4,100.0%
"形态: 两连阴 (-5.98%, -0.99%)",1,8.31,8.31,100.0%
"形态: 两连阴 (-2.70%, -2.78%)",1,8.29,8.59,100.0%
"形态: 两连阴 (-3.43%, -2.17%)",1,8.24,8.43,100.0%
量能: 放量 (1.60X),2,8.17,8.215,100.0%
"形态: 两连阴 (-3.41%, -1.18%)",1,8.08,8.08,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.58%, -3.00%)",1,8.08,8.08,100.0%
"形态: 两连阴 (-3.24%, -0.32%)",1,8.08,8.08,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.88%, -4.04%) | 趋势: 高于MA20",1,8.07,8.07,100.0%
"形态: 两连阴 (-1.93%, -1.23%)",1,8.02,8.02,100.0%
"形态: 两连阴 (-0.33%, -1.16%)",1,7.97,7.97,100.0%
"形态: 两连阴 (-4.27%, -1.18%)",1,7.85,7.85,100.0%
"形态: 两连阴 (-2.40%, -0.48%)",1,7.84,7.84,100.0%
量能: 放量 (1.82X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,7.84,19.85,100.0%
"形态: 两连阴 (-4.04%, -1.47%)",1,7.82,7.82,100.0%
"形态: 两连阴 (-0.24%, -0.37%)",1,7.8,7.8,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (3.22X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,7.64,7.74,100.0%
"形态: 两连阴 (-0.97%, -0.98%) | 动量: 突破转强 (阳线上穿5/10)",1,7.54,7.54,100.0%
"形态: 两连阴 (-0.18%, -2.89%) | 趋势: 高于MA20",1,7.47,7.47,100.0%
"形态: 两连阴 (-1.37%, -0.32%)",1,7.43,7.43,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.96%, -0.16%) | 动量: 突破转强 (阳线上穿5/10)",1,7.43,7.43,100.0%
"形态: 两连阴 (-2.91%, -1.71%)",1,7.3,7.3,100.0%
"形态: 两连阴 (-2.91%, -1.13%)",1,7.27,7.27,100.0%
"形态: 两连阴 (-0.73%, -1.87%)",1,7.22,7.22,100.0%
"形态: 两连阴 (-0.62%, -4.80%)",1,7.17,7.17,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.26%, -0.84%)",1,7.16,7.16,100.0%
"形态: 两连阴 (-0.57%, -0.38%)",1,7.16,7.16,100.0%
"形态: 两连阴 (-4.08%, -0.55%)",1,7.16,7.16,100.0%
"形态: 两连阴 (-0.70%, -4.92%) | 趋势: 高于MA20",1,7.15,7.15,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.41%, -0.93%)",1,7.1,7.1,100.0%
"形态: 两连阴 (-3.41%, -2.14%)",1,7.09,17.0,100.0%
"形态: 两连阴 (-3.74%, -1.09%)",1,7.08,8.34,100.0%
"形态: 两连阴 (-2.80%, -0.58%)",1,7.06,7.06,100.0%
"形态: 两连阴 (-0.73%, -2.07%)",1,7.05,7.05,100.0%
"形态: 两连阴 (-3.07%, -0.28%)",1,6.97,6.97,100.0%
"形态: 两连阴 (-2.99%, -0.51%)",1,6.92,6.92,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.98%, -3.11%) | 趋势: 高于MA20",1,6.91,6.91,100.0%
"形态: 两连阴 (-6.78%, -4.16%)",1,6.89,6.89,100.0%
"形态: 两连阴 (-3.82%, -1.75%)",1,6.88,6.88,100.0%
"形态: 两连阴 (-4.19%, -0.11%)",1,6.85,6.85,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.16%, -2.88%)",1,6.83,6.83,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.34%, -3.11%)",1,6.77,6.77,100.0%
"形态: 两连阴 (-0.87%, -3.50%)",1,6.77,10.42,100.0%
"形态: 两连阴 (-1.09%, -2.83%)",1,6.68,7.93,100.0%
"形态: 两连阴 (-0.14%, -0.14%)",1,6.68,6.96,100.0%
"形态: 两连阴 (-0.41%, -1.63%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,6.68,6.68,100.0%
"形态: 两连阴 (-3.05%, -0.13%)",1,6.68,6.68,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.06X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,6.56,6.56,100.0%
"形态: 两连阴 (-7.11%, -2.70%)",1,6.55,6.99,100.0%
"形态: 两连阴 (-4.39%, -0.16%)",1,6.55,6.55,100.0%
量能: 放量 (2.25X) | 动量: 突破转强 (阳线上穿5/10),1,6.54,12.51,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.80%, -2.80%)",1,6.51,6.51,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.11%, -1.20%)",1,6.48,6.48,100.0%
"形态: 两连阴 (-0.45%, -2.45%)",1,6.47,6.47,100.0%
"形态: 两连阴 (-3.98%, -1.74%)",1,6.46,6.46,100.0%
"形态: 两连阴 (-5.11%, -1.58%)",1,6.46,9.85,100.0%
"形态: 两连阴 (-2.84%, -0.33%) | 趋势: 高于MA20",1,6.45,6.45,100.0%
"形态: 两连阴 (-0.68%, -2.66%)",1,6.44,6.44,100.0%
"形态: 两连阴 (-2.77%, -0.61%)",1,6.43,6.43,100.0%
"量能: 放量 (1.75X) | 形态: 两连阴 (-1.24%, -1.12%)",1,6.43,6.43,100.0%
"形态: 两连阴 (-2.65%, -0.17%)",1,6.4,6.4,100.0%
"形态: 两连阴 (-3.88%, -1.21%)",1,6.33,6.33,100.0%
