股票代码,股票名称,买入信号,评分,图表路径
603001,奥康国际,"MA金叉形成; MACD金叉形成; 放量上涨: 量比2.82, 涨幅9.41%; 突破20日前高",70,
600151,航天机电,"MACD金叉形成; KDJ金叉; 放量上涨: 量比1.59, 涨幅10.06%; 突破20日前高",60,
600795,国电电力,MA金叉形成; MACD金叉形成; 突破20日前高,55,
600589,大位科技,"MA金叉形成; 放量上涨: 量比3.95, 涨幅6.78%; 突破20日前高",50,
603057,紫燕食品,RSI值为33.57，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,
605300,佳禾食品,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比1.95, 涨幅1.96%",50,
601519,大智慧,RSI值为32.01，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,
601177,杭齿前进,"RSI值为44.35，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比1.78, 涨幅3.19%",50,
601825,沪农商行,"MACD金叉形成; 放量上涨: 量比2.04, 涨幅2.95%; 突破20日前高",50,
603162,海通发展,"MA金叉形成; KDJ低位金叉; 放量上涨: 量比2.85, 涨幅7.28%",50,
600778,友好集团,"RSI值为49.06，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.57, 涨幅3.98%",45,
600827,百联股份,"RSI值为44.72，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.77, 涨幅2.73%",45,
600733,北汽蓝谷,"RSI值为42.33，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.75, 涨幅3.57%",45,
600628,新世界,"RSI值为46.61，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.72, 涨幅2.53%",45,
601226,华电科工,"RSI值为32.08，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.71, 涨幅4.43%",45,
601118,海南橡胶,"RSI值为48.63，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.96, 涨幅8.17%",45,
600860,京城股份,"RSI值为46.70，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比2.04, 涨幅3.43%",45,
600182,S佳通,"RSI值为35.32，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比3.78, 涨幅3.39%",45,
000020,深华发Ａ,"KDJ金叉; 放量上涨: 量比1.66, 涨幅4.02%; 突破20日前高",40,
600661,昂立教育,MA金叉形成; MACD金叉形成,40,
603043,广州酒家,MA金叉形成; MACD金叉形成,40,
600509,天富能源,MA金叉形成; MACD金叉形成,40,
603758,秦安股份,"KDJ金叉; 放量上涨: 量比4.04, 涨幅10.02%; 突破20日前高",40,
603269,海鸥股份,"MACD金叉形成; 放量上涨: 量比2.69, 涨幅5.39%",35,
601198,东兴证券,"MACD金叉形成; 放量上涨: 量比1.71, 涨幅1.63%",35,
600523,贵航股份,RSI值为46.06，处于低位回升阶段; MACD金叉形成,35,
600814,杭州解百,MACD金叉形成; KDJ低位金叉,35,
603602,纵横通信,RSI值为47.24，处于低位回升阶段; MACD金叉形成,35,
603305,旭升集团,RSI值为36.92，处于低位回升阶段; MACD金叉形成,35,
603912,佳力图,RSI值为40.88，处于低位回升阶段; MACD金叉形成,35,
600728,佳都科技,RSI值为44.06，处于低位回升阶段; MACD金叉形成,35,
603989,艾华集团,RSI值为41.79，处于低位回升阶段; MACD金叉形成,35,
603219,富佳股份,RSI值为32.42，处于低位回升阶段; MACD金叉形成,35,
600319,亚星化学,"MACD金叉形成; 放量上涨: 量比1.70, 涨幅10.05%",35,
603399,永杉锂业,MA金叉形成; KDJ低位金叉,35,
600703,三安光电,RSI值为36.51，处于低位回升阶段; MACD金叉形成,35,
600535,天士力,MA金叉形成; RSI值为45.32，处于低位回升阶段,35,
600889,南京化纤,RSI值为41.16，处于低位回升阶段; MACD金叉形成,35,
600604,市北高新,"MACD金叉形成; 放量上涨: 量比1.81, 涨幅1.51%",35,
002345,潮宏基,"MA金叉形成; 放量上涨: 量比1.74, 涨幅2.17%",35,
