Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
002590,万安科技,2026-04-24,12.38,-0.40%,趋势: 高于MA20,12.37,13.53,0.99X
603105,芯能科技,2026-04-24,11.46,-4.90%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,11.14,10.87,0.81X
002322,理工能科,2026-04-24,12.77,-10.01%,趋势: 多头排列 (5>20>60) | 量能: 放量 (2.32X),13.84,13.82,2.32X
002730,电光科技,2026-04-24,28.63,0.32%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),27.32,21.22,1.04X
605208,永茂泰,2026-04-24,15.49,5.45%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.00%, -7.26%) | 趋势: 高于MA20",14.14,13.59,0.97X
002181,粤 传 媒,2026-04-24,13.04,-0.61%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,12.70,11.69,0.91X
002734,利民股份,2026-04-24,17.83,1.60%,量能: 放量 (1.74X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),17.57,19.16,1.74X
600197,伊力特,2026-04-24,12.07,0.50%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.99,12.83,1.48X
603997,继峰股份,2026-04-24,12.68,-0.47%,"形态: 两连阴 (-0.47%, -0.62%) | 趋势: 高于MA20",12.49,13.43,1.07X
001210,金房能源,2026-04-24,20.61,-0.91%,"形态: 两连阴 (-0.85%, -1.05%)",21.09,22.20,1.07X
000425,徐工机械,2026-04-24,9.76,-0.41%,"形态: 两连阴 (-1.29%, -1.71%)",10.22,11.01,0.49X
600966,博汇纸业,2026-04-24,6.13,-9.99%,量能: 放量 (2.21X),6.53,7.32,2.21X
002879,长缆科技,2026-04-24,21.18,-1.30%,趋势: 高于MA20,20.95,21.73,0.60X
000821,京山轻机,2026-04-24,10.47,-4.30%,"形态: 两连阴 (-2.82%, -3.95%)",11.43,13.06,1.34X
002560,通达股份,2026-04-24,14.25,-0.14%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,13.16,11.39,0.83X
002724,海洋王,2026-04-24,7.12,1.42%,"形态: 两连阴 (-0.14%, -0.57%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",7.01,7.33,1.35X
600738,丽尚国潮,2026-04-24,4.68,-0.64%,"形态: 两连阴 (-0.63%, -0.42%)",4.79,5.06,0.93X
600814,杭州解百,2026-04-24,7.69,-0.65%,"形态: 两连阴 (-1.15%, -0.39%) | 趋势: 高于MA20",7.68,8.13,0.91X
000798,中水渔业,2026-04-24,9.23,-6.39%,"形态: 两连阴 (-2.62%, -1.89%)",10.19,10.83,1.44X
600012,皖通高速,2026-04-24,16.18,0.00%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,15.37,14.86,0.83X
600176,中国巨石,2026-04-24,33.0,-1.55%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,29.34,26.01,0.92X
002629,仁智股份,2026-04-24,6.44,-3.30%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.27%, -1.04%)",6.63,6.54,0.52X
002082,万邦德,2026-04-24,28.64,2.40%,动量: 突破转强 (阳线上穿5/10),30.21,21.91,1.29X
000973,佛塑科技,2026-04-24,18.99,10.02%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),18.17,15.45,1.25X
600869,远东股份,2026-04-24,16.22,-1.82%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,15.16,13.69,0.89X
603313,梦百合,2026-04-24,7.71,-0.26%,"形态: 两连阴 (-1.52%, -0.90%)",8.00,8.84,0.95X
603208,江山欧派,2026-04-24,13.15,2.26%,"量能: 放量 (1.55X) | 形态: 两连阴 (-1.07%, -0.62%) | 动量: 突破转强 (阳线上穿5/10)",13.26,14.10,1.55X
605299,舒华体育,2026-04-24,20.93,5.60%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.71%, -3.18%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",20.36,15.34,1.39X
