Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
605228,神通科技,2026-07-13,13.88,-3.00%,趋势: 高于MA20,13.64,13.94,0.79X
601636,旗滨集团,2026-07-13,6.74,-4.80%,"形态: 两连阴 (-0.55%, -1.80%)",8.20,7.09,0.92X
600966,博汇纸业,2026-07-13,4.56,-6.94%,"量能: 放量 (1.83X) | 形态: 两连阴 (-0.41%, -0.20%)",5.02,5.76,1.83X
001313,粤海饲料,2026-07-13,7.29,-10.00%,形态: 10日内有涨停,7.57,8.16,1.25X
002406,远东传动,2026-07-13,6.12,-5.99%,"形态: 两连阴 (-4.35%, -4.41%)",6.90,7.68,0.85X
002600,领益智造,2026-07-13,13.64,-10.03%,形态: 10日内有涨停,16.29,15.40,1.16X
600192,长城电工,2026-07-13,6.2,-6.91%,量能: 放量 (1.61X) | 形态: 10日内有涨停,6.86,7.65,1.61X
002038,双鹭药业,2026-07-13,6.72,5.33%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.79,6.18,1.41X
002972,科安达,2026-07-13,17.7,4.36%,趋势: 高于MA20,17.50,14.40,1.25X
603677,奇精机械,2026-07-13,13.82,10.03%,量能: 放量 (1.93X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.32,15.27,1.93X
000739,普洛药业,2026-07-13,18.19,1.06%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),17.15,17.21,1.26X
000716,黑芝麻,2026-07-13,4.39,0.00%,趋势: 高于MA20,4.32,4.94,0.80X
603903,中持股份,2026-07-13,15.24,-4.27%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,13.44,12.66,0.71X
002301,齐心集团,2026-07-13,7.78,-5.70%,趋势: 多头排列 (5>20>60),7.81,7.62,1.20X
605377,华旺科技,2026-07-13,9.89,-2.37%,形态: 10日内有涨停 | 趋势: 高于MA20,9.04,9.20,0.79X
603766,隆鑫通用,2026-07-13,12.1,2.11%,"形态: 两连阴 (-4.80%, -3.66%)",12.13,13.62,1.02X
002774,快意电梯,2026-07-13,15.26,-4.03%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,13.83,12.63,1.28X
605018,长华集团,2026-07-13,12.26,-6.55%,形态: 10日内有涨停,14.09,13.95,0.86X
003018,金富科技,2026-07-13,62.5,-3.25%,形态: 10日内有涨停,67.76,59.14,0.99X
603269,海鸥股份,2026-07-13,15.18,-10.02%,"形态: 10日内有涨停 | 形态: 两连阴 (-1.85%, -0.59%)",19.88,19.53,0.60X
600499,科达制造,2026-07-13,14.4,-0.21%,"形态: 两连阴 (-0.26%, -5.50%)",14.90,16.50,0.97X
603819,神力股份,2026-07-13,12.89,-5.08%,形态: 10日内有涨停 | 趋势: 高于MA20,12.22,13.32,0.67X
603162,海通发展,2026-07-13,10.12,0.00%,形态: 10日内有涨停 | 趋势: 高于MA20,9.55,12.48,1.43X
603815,交建股份,2026-07-13,6.99,2.95%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.85,6.47,0.90X
000506,招金黄金,2026-07-13,13.17,-4.15%,形态: 10日内有涨停,13.37,14.61,0.70X
002871,伟隆股份,2026-07-13,18.84,-5.14%,"形态: 两连阴 (-2.10%, -0.70%)",20.82,20.32,0.80X
000948,南天信息,2026-07-13,13.45,1.13%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.46,13.68,1.02X
600530,交大昂立,2026-07-13,5.13,-3.93%,形态: 10日内有涨停,5.50,6.03,0.80X
600367,红星发展,2026-07-13,37.7,-8.45%,形态: 10日内有涨停,52.90,38.04,0.86X
002632,道明光学,2026-07-13,8.52,-4.27%,形态: 10日内有涨停,9.27,10.42,1.40X
600199,金种子酒,2026-07-13,6.27,-2.94%,形态: 10日内有涨停,6.50,7.47,0.81X
600888,新疆众和,2026-07-13,10.58,-9.96%,"形态: 两连阴 (-2.64%, -3.45%)",13.68,11.02,0.86X
600279,重庆港,2026-07-13,4.0,1.27%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),3.91,4.60,1.21X
603886,元祖股份,2026-07-13,11.34,-7.88%,量能: 放量 (1.60X),12.72,12.33,1.60X
600007,中国国贸,2026-07-13,19.69,0.36%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),19.20,20.70,1.26X
600629,华建集团,2026-07-13,14.03,10.04%,量能: 放量 (2.03X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.55,17.30,2.03X
600379,宝光股份,2026-07-13,13.55,-8.32%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.43%, -0.40%)",14.35,14.24,0.93X
600143,金发科技,2026-07-13,14.72,-3.22%,形态: 10日内有涨停,15.88,16.59,0.71X
000967,盈峰环境,2026-07-13,8.23,-9.36%,"形态: 10日内有涨停 | 形态: 两连阴 (-1.60%, -1.30%)",10.09,11.81,1.11X
000859,国风新材,2026-07-13,7.97,-7.54%,形态: 10日内有涨停,10.18,10.04,0.86X
002810,山东赫达,2026-07-13,19.85,-3.87%,"形态: 两连阴 (-3.68%, -2.59%)",24.05,24.85,0.77X
