Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
605228,神通科技,2026-07-03,14.46,1.54%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.26,13.97,1.05X
601636,旗滨集团,2026-07-03,8.42,-7.47%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.50%, -6.86%) | 趋势: 高于MA20",8.05,6.94,0.83X
600966,博汇纸业,2026-07-03,5.04,1.61%,动量: 突破转强 (阳线上穿5/10),5.23,5.91,0.84X
002629,仁智股份,2026-07-03,4.67,1.52%,动量: 突破转强 (阳线上穿5/10),4.70,5.89,0.67X
001313,粤海饲料,2026-07-03,7.77,-9.44%,形态: 10日内有涨停 | 趋势: 高于MA20,7.44,8.16,1.45X
002811,郑中设计,2026-07-03,11.86,3.58%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.72,12.67,1.11X
002406,远东传动,2026-07-03,6.95,3.89%,动量: 突破转强 (阳线上穿5/10),7.16,7.74,1.33X
605337,李子园,2026-07-03,8.7,2.59%,动量: 突破转强 (阳线上穿5/10),8.84,9.97,0.95X
000712,锦龙股份,2026-07-03,9.05,0.11%,趋势: 高于MA20,8.99,10.06,0.77X
002600,领益智造,2026-07-03,18.02,4.89%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),16.00,15.21,1.24X
000060,中金岭南,2026-07-03,7.23,-2.43%,形态: 10日内有涨停,7.67,7.33,0.94X
002688,金河生物,2026-07-03,5.04,2.65%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.94,5.52,1.02X
601008,连云港,2026-07-03,4.26,2.65%,动量: 突破转强 (阳线上穿5/10),4.31,4.60,1.25X
002038,双鹭药业,2026-07-03,6.39,-4.63%,形态: 10日内有涨停 | 趋势: 高于MA20,5.55,6.32,1.04X
000830,鲁西化工,2026-07-03,12.79,-0.93%,趋势: 高于MA20,12.67,14.39,0.81X
603187,海容冷链,2026-07-03,12.17,2.79%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.08,13.44,1.01X
002972,科安达,2026-07-03,18.81,-1.36%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,16.09,13.95,0.71X
002043,兔 宝 宝,2026-07-03,11.55,3.87%,动量: 突破转强 (阳线上穿5/10),11.79,13.33,1.37X
603677,奇精机械,2026-07-03,13.65,5.00%,动量: 突破转强 (阳线上穿5/10),14.05,15.55,1.27X
000739,普洛药业,2026-07-03,18.24,2.82%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),16.47,17.18,1.09X
601798,蓝科高新,2026-07-03,7.4,1.93%,形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),7.40,8.34,0.83X
000716,黑芝麻,2026-07-03,4.3,0.70%,动量: 突破转强 (阳线上穿5/10),4.48,5.03,0.85X
603903,中持股份,2026-07-03,14.15,8.10%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.27,12.25,1.35X
002301,齐心集团,2026-07-03,8.09,3.59%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.57,7.49,0.93X
002863,今飞凯达,2026-07-03,4.51,3.44%,动量: 突破转强 (阳线上穿5/10),5.36,5.40,1.36X
