排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,600127,金健米业,6.39,0.1,-0.0184,20.19,7.3,💥【顶级共振】RSI共振(20.2/9.9) | 🎯【震荡-高吸】触及BOLL下轨 | 🔥【高弹性】回撤达标,持有,1.015,平稳
2,603817,海峡环保,6.78,0.096,-0.0273,27.47,-4.03,💥【顶级共振】RSI+KDJ极值(27.5/-4.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.106,平稳
3,000633,合金投资,6.22,0.0946,-0.0205,25.75,-1.8,💥【顶级共振】RSI共振(25.8/14.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.987,平稳
4,002337,赛象科技,5.73,0.0934,-0.0239,23.05,-1.15,💥【顶级共振】RSI共振(23.1/8.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.016,平稳
5,002098,浔兴股份,8.21,0.0898,-0.0156,25.33,15.76,💥【顶级共振】RSI共振(25.3/11.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.947,平稳
6,600128,苏豪弘业,9.72,0.0865,-0.0211,15.31,0.89,💥【顶级共振】RSI共振(15.3/6.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.99,平稳
7,002363,隆基机械,7.92,0.0844,-0.0306,27.1,0.18,💥【顶级共振】RSI共振(27.1/12.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.992,平稳
8,001217,华尔泰,11.1,0.0842,-0.0133,25.14,3.08,💥【顶级共振】RSI共振(25.1/13.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.969,平稳
9,002187,广百股份,5.75,0.0829,-0.0188,28.53,0.84,💥【顶级共振】RSI+KDJ极值(28.5/0.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.917,平稳
10,000058,深 赛 格,7.75,0.0828,-0.03,28.93,-5.96,💥【顶级共振】RSI共振(28.9/17.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.919,平稳
11,002644,佛慈制药,7.76,0.0827,-0.0177,25.1,-0.51,💥【顶级共振】RSI+KDJ极值(25.1/-0.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.962,平稳
12,600706,曲江文旅,8.82,0.0793,-0.0233,24.27,-0.58,💥【顶级共振】RSI共振(24.3/7.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.926,平稳
13,002811,郑中设计,12.94,0.0757,-0.0249,23.83,5.18,💥【顶级共振】RSI共振(23.8/4.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.063,平稳
14,003016,欣贺股份,7.94,0.0735,-0.0222,23.13,-0.5,💥【顶级共振】RSI共振(23.1/4.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.975,平稳
15,605136,丽人丽妆,10.28,0.0722,-0.0274,27.89,4.84,💥【顶级共振】RSI共振(27.9/16.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.962,平稳
16,600858,银座股份,5.39,0.0707,-0.0236,27.3,4.76,💥【顶级共振】RSI+KDJ极值(27.3/4.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.971,平稳
17,002863,今飞凯达,5.32,0.0699,-0.0239,27.41,6.69,💥【顶级共振】RSI共振(27.4/9.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.014,平稳
18,000498,山东路桥,5.33,0.0923,-0.0074,27.32,20.86,🌟【加强级】RSI极值(27.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.968,平稳
