排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,603331,百达精工,14.08,0.0959,0.0021,24.79,19.94,💥【顶级共振】RSI共振(24.8/11.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.287,平稳
2,600399,抚顺特钢,5.47,0.0944,-0.0215,24.35,-6.25,💥【顶级共振】RSI共振(24.4/16.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.107,平稳
3,002096,易普力,10.86,0.0942,-0.0646,23.71,13.62,💥【顶级共振】RSI共振(23.7/17.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.974,平稳
4,002698,博实股份,12.78,0.0923,-0.0047,22.94,-7.54,💥【顶级共振】RSI共振(22.9/12.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.905,平稳
5,600222,太龙药业,6.8,0.0897,-0.0327,27.66,17.61,💥【顶级共振】RSI共振(27.7/15.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.09,平稳
6,000532,华金资本,12.66,0.0889,-0.0031,25.05,5.27,💥【顶级共振】RSI共振(25.1/17.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.945,平稳
7,002583,海能达,9.94,0.0872,-0.0283,28.13,-10.04,💥【顶级共振】RSI共振(28.1/15.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.919,平稳
8,002783,凯龙股份,8.92,0.0842,-0.0176,27.05,-8.49,💥【顶级共振】RSI共振(27.1/15.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.02,平稳
9,603707,健友股份,9.18,0.0783,-0.0275,28.97,21.37,💥【顶级共振】RSI共振(29.0/17.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.934,平稳
10,002346,柘中股份,17.74,0.0989,0.0085,27.35,10.53,🌟【加强级】RSI极值(27.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.153,平稳
