排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,000590,启迪药业,10.46,0.0975,-0.0197,21.8,-6.3,💥【顶级共振】RSI共振(21.8/9.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.006,平稳
2,600241,时代万恒,9.0,0.0964,-0.0175,26.76,-4.97,💥【顶级共振】RSI共振(26.8/11.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.089,平稳
3,002749,国光股份,12.14,0.0954,-0.0074,25.95,-17.39,💥【顶级共振】RSI共振(25.9/11.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.932,平稳
4,601238,广汽集团,6.6,0.0947,-0.0105,14.03,-0.59,💥【顶级共振】RSI共振(14.0/7.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.938,平稳
5,605368,蓝天燃气,7.56,0.0913,-0.0053,24.3,21.22,💥【顶级共振】RSI共振(24.3/17.6),持有,0.906,平稳
6,600138,中青旅,8.53,0.0906,-0.0207,11.19,1.53,💥【顶级共振】RSI共振(11.2/2.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.945,平稳
7,600257,大湖股份,5.85,0.0874,-0.0168,25.99,1.52,💥【顶级共振】RSI共振(26.0/16.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.085,平稳
8,603856,东宏股份,12.01,0.0874,-0.026,21.9,-13.74,💥【顶级共振】RSI共振(21.9/5.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.051,平稳
9,600848,上海临港,8.7,0.0871,-0.0279,25.49,-0.81,💥【顶级共振】RSI共振(25.5/12.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.951,平稳
10,002204,大连重工,6.31,0.0868,-0.0094,23.48,-6.4,💥【顶级共振】RSI共振(23.5/17.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.016,平稳
11,000633,合金投资,6.31,0.0815,-0.011,27.29,-14.53,💥【顶级共振】RSI共振(27.3/12.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.999,平稳
12,002459,晶澳科技,10.37,0.0725,-0.0521,28.39,25.22,💥【顶级共振】RSI共振(28.4/14.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.979,平稳
13,601319,中国人保,6.96,0.0708,-0.0333,26.7,12.46,💥【顶级共振】RSI共振(26.7/14.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.919,平稳
14,600128,苏豪弘业,9.92,0.0677,-0.0129,19.22,-13.8,💥【顶级共振】RSI共振(19.2/9.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.997,平稳
15,601696,中银证券,11.93,0.0606,-0.0348,28.52,8.17,💥【顶级共振】RSI共振(28.5/13.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.952,平稳
