Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
605055,迎丰股份,2026-03-11,9.9,-3.70%,趋势: 多头排列 (5>20>60),9.93,9.64,1.39X
600732,爱旭股份,2026-03-11,15.26,0.59%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),14.63,13.90,0.83X
601611,中国核建,2026-03-11,17.28,-0.69%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,16.08,15.24,0.80X
002706,良信股份,2026-03-11,12.89,2.30%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.68X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.31,10.90,1.68X
600288,大恒科技,2026-03-11,15.68,-0.88%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,15.54,15.46,0.87X
600110,诺德股份,2026-03-11,8.2,5.94%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.69X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.50,7.25,1.69X
603218,日月股份,2026-03-11,14.87,1.43%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),14.04,13.61,1.12X
001299,美能能源,2026-03-11,14.08,2.25%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.73,12.93,0.86X
600854,春兰股份,2026-03-11,5.45,-0.37%,趋势: 高于MA20,5.35,5.18,0.74X
603012,创力集团,2026-03-11,8.73,2.34%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.73X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),8.18,7.14,1.73X
601898,中煤能源,2026-03-11,17.91,6.61%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),15.66,13.96,0.97X
000048,京基智农,2026-03-11,19.54,1.82%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),18.05,16.34,1.20X
600226,亨通股份,2026-03-11,5.58,-1.76%,"形态: 两连阴 (-0.70%, -0.53%)",5.83,5.52,0.90X
000407,胜利股份,2026-03-11,5.14,-0.58%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停,5.21,5.06,0.59X
603889,新澳股份,2026-03-11,8.36,-0.48%,"形态: 两连阴 (-5.07%, -0.24%)",8.94,8.50,1.17X
002258,利尔化学,2026-03-11,16.44,4.25%,"形态: 两连阴 (-2.08%, -1.25%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",16.24,15.08,1.23X
002782,可立克,2026-03-11,28.78,10.02%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),23.38,20.98,1.15X
603823,百合花,2026-03-11,17.79,1.25%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.67%, -0.11%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",17.48,17.02,0.73X
001338,永顺泰,2026-03-11,13.1,0.15%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.73,12.50,0.77X
603861,白云电器,2026-03-11,19.33,-2.86%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.24%, -2.69%) | 趋势: 高于MA20",18.56,15.17,0.82X
603300,海南华铁,2026-03-11,7.33,-0.27%,趋势: 高于MA20,7.26,7.42,0.88X
002476,宝莫股份,2026-03-11,6.34,-0.63%,"形态: 两连阴 (-1.51%, -2.15%)",6.52,6.61,0.70X
002648,卫星化学,2026-03-11,27.93,7.55%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),23.94,20.48,1.03X
002268,电科网安,2026-03-11,20.12,-0.54%,趋势: 高于MA20,19.76,19.79,1.08X
002688,金河生物,2026-03-11,6.16,0.65%,动量: 突破转强 (阳线上穿5/10),6.18,6.19,0.91X
600376,首开股份,2026-03-11,5.59,1.08%,量能: 放量 (2.14X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.45,5.67,2.14X
600338,西藏珠峰,2026-03-11,18.92,4.24%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),18.23,17.10,1.46X
002237,恒邦股份,2026-03-11,17.53,-0.68%,"形态: 两连阴 (-0.06%, -0.06%)",17.89,15.89,0.72X
601339,百隆东方,2026-03-11,7.63,5.10%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.13,6.35,1.32X
600769,祥龙电业,2026-03-11,15.02,10.04%,趋势: 多头排列 (5>20>60) | 量能: 放量 (2.42X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.98,12.66,2.42X
600667,太极实业,2026-03-11,10.61,-0.93%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,10.16,9.14,0.91X
002734,利民股份,2026-03-11,21.67,1.12%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),20.54,18.19,0.78X
002248,华东数控,2026-03-11,15.58,10.03%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.80X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.58,12.53,1.80X
002675,东诚药业,2026-03-11,13.34,1.68%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.18,13.74,1.50X
002348,高乐股份,2026-03-11,8.89,0.79%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.38,6.56,0.81X
