Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600028,中国石化,2026-03-02,7.11,10.06%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (3.01X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.46%, -0.46%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",6.50,6.13,3.01X
600435,北方导航,2026-03-02,18.87,10.03%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (2.67X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.29%, -0.52%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",16.97,16.22,2.67X
