Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
601677,明泰铝业,2026-05-29,18.69,-0.80%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.61%, -3.38%) | 趋势: 高于MA20",18.14,17.01,0.75X
600397,江钨装备,2026-05-29,13.94,1.60%,动量: 突破转强 (阳线上穿5/10),14.13,15.19,1.08X
002491,通鼎互联,2026-05-29,23.93,3.50%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),22.02,16.04,1.44X
600749,西藏旅游,2026-05-29,14.82,1.58%,"量能: 放量 (1.57X) | 形态: 两连阴 (-0.94%, -1.42%)",15.72,16.62,1.57X
002401,中远海科,2026-05-29,12.96,-1.59%,"形态: 两连阴 (-3.79%, -0.23%)",14.37,14.98,0.75X
603819,神力股份,2026-05-29,12.56,-5.71%,"形态: 两连阴 (-4.30%, -0.15%)",14.36,13.56,1.03X
600497,驰宏锌锗,2026-05-29,9.52,-4.61%,形态: 10日内有涨停,9.88,9.13,0.98X
000026,飞亚达,2026-05-29,23.95,3.86%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,21.40,17.46,0.81X
601233,桐昆股份,2026-05-29,19.08,-2.30%,"形态: 两连阴 (-0.64%, -3.12%)",20.95,20.07,0.94X
603711,香飘飘,2026-05-29,14.61,0.34%,趋势: 多头排列 (5>20>60),14.67,13.31,1.07X
002171,楚江新材,2026-05-29,11.92,-2.69%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,11.71,11.67,1.36X
600886,国投电力,2026-05-29,14.3,3.55%,量能: 放量 (1.53X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.58,13.84,1.53X
603778,国晟科技,2026-05-29,16.72,-2.22%,"形态: 两连阴 (-2.17%, -9.67%)",23.24,24.24,0.87X
600595,中孚实业,2026-05-29,7.0,-0.99%,"形态: 两连阴 (-4.34%, -2.88%)",7.50,7.88,0.85X
