排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,000017,深中华A,7.09,0.0968,-0.0112,28.24,-3.57,💥【顶级共振】RSI+KDJ极值(28.2/-3.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.111,平稳
2,600579,中化装备,8.51,0.0898,-0.0296,22.8,-4.71,💥【顶级共振】RSI共振(22.8/9.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.048,平稳
3,002331,皖通科技,8.51,0.0849,-0.0319,28.31,11.11,💥【顶级共振】RSI极值+恐慌(28.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.101,平稳
4,001322,箭牌家居,8.48,0.0842,-0.0105,28.83,1.53,💥【顶级共振】RSI共振(28.8/16.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.047,平稳
5,603277,银都股份,15.08,0.0777,-0.0098,23.36,11.76,💥【顶级共振】RSI共振(23.4/16.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.985,平稳
6,603808,歌力思,9.44,0.0772,-0.0258,26.28,5.95,💥【顶级共振】RSI共振(26.3/12.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.168,平稳
7,603535,嘉诚国际,9.02,0.0953,-0.0099,27.28,8.25,🌟【加强级】RSI极值(27.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.948,平稳
8,605108,同庆楼,17.55,0.085,-0.0074,27.28,19.62,🌟【加强级】RSI极值(27.3),持有,0.958,平稳
9,000716,黑芝麻,5.69,0.0687,-0.0087,28.84,21.51,🌟【加强级】RSI极值(28.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.968,平稳
10,601198,东兴证券,13.31,0.0627,-0.0015,26.76,12.49,🌟【加强级】RSI极值(26.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.167,平稳
