排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,002698,博实股份,14.86,0.0994,-0.0262,20.54,1.81,💥【顶级共振】RSI共振(20.5/16.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.001,平稳
2,603758,秦安股份,13.5,0.097,-0.0364,18.61,5.47,💥【顶级共振】RSI共振(18.6/14.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.107,平稳
3,600848,上海临港,10.58,0.0957,-0.0195,26.03,4.4,💥【顶级共振】RSI+KDJ极值(26.0/4.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.135,平稳
4,603668,天马科技,13.82,0.0884,-0.0072,17.47,15.59,💥【顶级共振】RSI共振(17.5/8.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.107,平稳
5,002651,利君股份,10.19,0.0877,-0.0164,21.97,-0.13,💥【顶级共振】RSI共振(22.0/13.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.042,平稳
6,600480,凌云股份,10.82,0.0854,-0.0155,24.78,3.92,💥【顶级共振】RSI+KDJ极值(24.8/3.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.967,平稳
7,601198,东兴证券,13.43,0.0687,-0.011,23.91,4.16,💥【顶级共振】RSI共振(23.9/17.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.182,平稳
8,603809,豪能股份,11.87,0.0992,-0.0084,22.34,8.65,🌟【加强级】RSI极值(22.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.957,平稳
9,002098,浔兴股份,9.42,0.0977,-0.0198,28.54,16.77,🌟【加强级】RSI极值(28.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.091,平稳
10,002611,东方精工,16.62,0.09,-0.0107,27.8,15.16,🌟【加强级】RSI极值(27.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.171,平稳
11,600095,湘财股份,10.12,0.0861,-0.0146,28.82,17.0,🌟【加强级】RSI极值(28.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.071,平稳
12,600909,华安证券,6.14,0.0846,-0.0065,28.78,27.0,🌟【加强级】RSI极值(28.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.113,平稳
13,603277,银都股份,15.36,0.0814,-0.0135,24.01,8.39,🌟【加强级】RSI极值(24.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.994,平稳
14,603711,香飘飘,12.85,0.0627,-0.0077,24.51,5.23,🌟【加强级】RSI极值(24.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.997,平稳
