排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,603809,豪能股份,11.93,0.0992,0.011,21.89,-6.04,💥【顶级共振】RSI+KDJ极值(21.9/-6.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.957,平稳
2,002790,瑞尔特,7.96,0.097,0.0063,22.81,2.61,💥【顶级共振】RSI+KDJ极值(22.8/2.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.083,平稳
3,000058,深 赛 格,8.46,0.0939,0.0071,25.71,2.99,💥【顶级共振】RSI+KDJ极值(25.7/3.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.036,平稳
4,002521,齐峰新材,8.0,0.0922,0.0152,27.83,-3.95,💥【顶级共振】RSI+KDJ极值(27.8/-4.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.952,平稳
5,600848,上海临港,10.69,0.0906,0.0047,24.99,-5.55,💥【顶级共振】RSI共振(25.0/16.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.138,平稳
6,603886,元祖股份,12.62,0.0888,-0.0055,20.44,3.38,💥【顶级共振】RSI共振(20.4/8.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.047,平稳
7,002698,博实股份,15.18,0.0885,0.0093,22.82,-9.72,💥【顶级共振】RSI+KDJ极值(22.8/-9.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.002,平稳
8,600095,湘财股份,10.09,0.0877,-0.0088,18.5,2.58,💥【顶级共振】RSI共振(18.5/8.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.077,平稳
9,601108,财通证券,8.26,0.0873,0.0,23.02,0.62,💥【顶级共振】RSI共振(23.0/10.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.081,平稳
10,001300,三柏硕,15.94,0.0871,0.0006,27.52,-1.76,💥【顶级共振】RSI共振(27.5/13.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.16,平稳
11,605388,均瑶健康,6.53,0.0858,0.0046,21.7,7.9,💥【顶级共振】RSI共振(21.7/17.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.979,平稳
12,603208,江山欧派,14.1,0.085,0.0071,28.84,-3.82,💥【顶级共振】RSI+KDJ极值(28.8/-3.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.983,平稳
13,002107,沃华医药,6.72,0.0845,-0.0204,22.83,1.37,💥【顶级共振】RSI共振(22.8/11.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.15,平稳
14,600480,凌云股份,10.85,0.0837,0.0009,18.8,-12.53,💥【顶级共振】RSI共振(18.8/7.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.968,平稳
15,600138,中青旅,9.4,0.0814,0.0032,25.24,4.94,💥【顶级共振】RSI+KDJ极值(25.2/4.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.0,平稳
16,603277,银都股份,15.52,0.0814,0.0111,25.85,-4.53,💥【顶级共振】RSI+KDJ极值(25.9/-4.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.997,平稳
17,600419,天润乳业,9.4,0.0798,0.0064,25.4,-4.89,💥【顶级共振】RSI+KDJ极值(25.4/-4.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.977,平稳
18,002651,利君股份,10.32,0.0761,-0.0058,23.24,0.48,💥【顶级共振】RSI共振(23.2/12.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.051,平稳
19,605008,长鸿高科,12.5,0.0758,0.0048,23.15,2.38,💥【顶级共振】RSI+KDJ极值(23.1/2.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.934,平稳
20,603178,圣龙股份,16.53,0.0756,0.0092,27.53,-0.64,💥【顶级共振】RSI+KDJ极值(27.5/-0.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.956,平稳
21,603758,秦安股份,13.89,0.0749,0.0043,19.74,-0.6,💥【顶级共振】RSI共振(19.7/15.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.122,平稳
