排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,003016,欣贺股份,8.31,0.0977,-0.0281,23.05,-3.5,💥【顶级共振】RSI共振(23.1/12.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.14,平稳
2,002695,煌上煌,10.59,0.0972,-0.0442,18.26,-0.42,💥【顶级共振】RSI共振(18.3/7.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.026,平稳
3,002590,万安科技,13.49,0.0971,-0.0364,19.3,-10.13,💥【顶级共振】RSI共振(19.3/6.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.061,平稳
4,603278,大业股份,11.65,0.0955,-0.0498,24.86,-2.83,💥【顶级共振】RSI共振(24.9/11.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.201,平稳
5,603915,国茂股份,15.96,0.0947,-0.0551,20.49,-10.27,💥【顶级共振】RSI共振(20.5/7.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.066,平稳
6,002333,罗普斯金,5.76,0.0943,-0.0336,28.72,-4.26,💥【顶级共振】RSI共振(28.7/15.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.06,平稳
7,002324,普利特,16.66,0.0931,-0.0614,24.09,1.1,💥【顶级共振】RSI共振(24.1/8.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.345,平稳
8,603677,奇精机械,16.81,0.0928,-0.0356,19.38,-14.44,💥【顶级共振】RSI共振(19.4/7.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.918,平稳
9,000058,深 赛 格,8.42,0.0927,-0.0288,21.3,-9.0,💥【顶级共振】RSI共振(21.3/9.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.04,平稳
10,002347,泰尔股份,9.03,0.0925,-0.0623,25.98,0.39,💥【顶级共振】RSI共振(26.0/13.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.264,向上
11,600148,长春一东,19.17,0.0923,-0.0405,24.19,1.64,💥【顶级共振】RSI共振(24.2/10.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.008,平稳
12,002591,恒大高新,7.2,0.0921,-0.0514,28.28,12.12,💥【顶级共振】RSI共振(28.3/12.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.182,平稳
13,002611,东方精工,16.5,0.0919,-0.0501,18.28,-6.64,💥【顶级共振】RSI共振(18.3/8.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.181,平稳
14,002276,万马股份,16.02,0.0918,-0.0582,23.38,-8.45,💥【顶级共振】RSI共振(23.4/8.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.072,平稳
15,002184,海得控制,12.16,0.0912,-0.0425,19.25,1.26,💥【顶级共振】RSI共振(19.2/8.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.982,平稳
16,600446,金证股份,14.14,0.0895,-0.0465,23.39,17.2,💥【顶级共振】RSI共振(23.4/15.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.922,平稳
17,600215,派斯林,7.15,0.0892,-0.0403,26.43,-1.28,💥【顶级共振】RSI共振(26.4/12.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.948,平稳
18,002363,隆基机械,8.5,0.089,-0.0341,21.44,5.6,💥【顶级共振】RSI共振(21.4/7.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.157,平稳
19,002331,皖通科技,8.64,0.0886,-0.0292,19.39,-3.8,💥【顶级共振】RSI共振(19.4/5.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.102,平稳
20,601002,晋亿实业,5.25,0.0885,-0.0367,26.17,5.11,💥【顶级共振】RSI共振(26.2/10.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.05,平稳
21,002194,武汉凡谷,11.99,0.0882,-0.0377,25.23,10.92,💥【顶级共振】RSI共振(25.2/10.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.979,平稳
22,002103,广博股份,9.22,0.088,-0.0426,24.27,-10.21,💥【顶级共振】RSI共振(24.3/11.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.966,平稳
23,603809,豪能股份,11.95,0.0878,-0.0463,15.25,-7.48,💥【顶级共振】RSI共振(15.2/4.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.96,平稳
24,603359,东珠生态,6.56,0.0876,-0.0339,28.93,-6.13,💥【顶级共振】RSI共振(28.9/15.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.07,平稳
25,603997,继峰股份,13.74,0.0858,-0.0158,28.45,8.8,💥【顶级共振】RSI共振(28.4/15.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.116,平稳
26,600749,西藏旅游,15.78,0.0852,-0.0038,28.92,-7.39,💥【顶级共振】RSI共振(28.9/16.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.044,平稳
27,600560,金自天正,15.71,0.0845,-0.035,23.03,-9.04,💥【顶级共振】RSI共振(23.0/10.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.004,平稳
28,001300,三柏硕,15.99,0.0837,-0.0172,27.93,-8.9,💥【顶级共振】RSI共振(27.9/12.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.16,平稳
29,002675,东诚药业,12.6,0.0836,-0.0225,17.93,7.19,💥【顶级共振】RSI共振(17.9/9.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.937,平稳
30,000948,南天信息,16.03,0.0798,-0.0395,20.68,-4.81,💥【顶级共振】RSI共振(20.7/10.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.937,平稳
31,603506,南都物业,13.32,0.0795,-0.0445,24.36,10.68,💥【顶级共振】RSI共振(24.4/12.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.086,平稳
32,603332,苏州龙杰,12.99,0.0794,-0.0356,24.82,-0.77,💥【顶级共振】RSI共振(24.8/9.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.017,平稳
33,002774,快意电梯,10.63,0.0789,-0.0458,24.71,-1.88,💥【顶级共振】RSI共振(24.7/8.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.144,平稳
34,603515,欧普照明,18.22,0.0789,-0.0103,19.47,0.59,💥【顶级共振】RSI共振(19.5/3.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.079,平稳
35,603518,锦泓集团,9.5,0.0786,-0.0414,27.71,-2.81,💥【顶级共振】RSI共振(27.7/13.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.035,平稳
36,603221,爱丽家居,12.26,0.0782,-0.0422,23.6,14.92,💥【顶级共振】RSI共振(23.6/10.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.119,平稳
37,603648,畅联股份,9.97,0.0769,-0.0148,13.94,-6.02,💥【顶级共振】RSI共振(13.9/4.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.007,平稳
38,603339,四方科技,13.25,0.076,-0.0406,26.93,-0.7,💥【顶级共振】RSI共振(26.9/12.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.047,平稳
