排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,002026,山东威达,14.34,0.0998,-0.0553,24.6,-5.98,💥【顶级共振】RSI共振(24.6/7.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.149,平稳
2,002301,齐心集团,7.33,0.0973,-0.0443,28.9,2.08,💥【顶级共振】RSI共振(28.9/13.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.084,平稳
3,002695,煌上煌,10.59,0.0972,-0.0442,18.26,-0.42,💥【顶级共振】RSI共振(18.3/7.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.026,平稳
4,603515,欧普照明,18.41,0.0971,-0.0155,22.45,-1.22,💥【顶级共振】RSI共振(22.4/4.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.079,平稳
5,605108,同庆楼,18.63,0.0939,-0.0266,27.06,-7.21,💥【顶级共振】RSI+KDJ极值(27.1/-7.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.976,平稳
6,002098,浔兴股份,9.68,0.0894,-0.0397,26.34,15.69,💥【顶级共振】RSI共振(26.3/14.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.1,平稳
7,600933,爱柯迪,17.85,0.0888,-0.032,25.91,12.76,💥【顶级共振】RSI共振(25.9/12.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.049,平稳
8,002137,实益达,8.94,0.0887,-0.0499,28.14,6.91,💥【顶级共振】RSI共振(28.1/9.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.049,平稳
9,002103,广博股份,9.22,0.088,-0.0426,24.27,-10.21,💥【顶级共振】RSI共振(24.3/11.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.966,平稳
10,603668,天马科技,14.47,0.0848,-0.0236,25.62,9.93,💥【顶级共振】RSI共振(25.6/13.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.133,平稳
11,002691,冀凯股份,8.71,0.0832,-0.046,27.51,-9.79,💥【顶级共振】RSI共振(27.5/9.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.012,平稳
12,603506,南都物业,13.32,0.0795,-0.0445,24.36,10.68,💥【顶级共振】RSI共振(24.4/12.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.086,平稳
13,002404,嘉欣丝绸,6.92,0.0786,-0.0442,25.17,-8.87,💥【顶级共振】RSI共振(25.2/10.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.098,平稳
14,603518,锦泓集团,9.5,0.0786,-0.0414,27.71,-2.81,💥【顶级共振】RSI共振(27.7/13.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.035,平稳
15,603221,爱丽家居,12.26,0.0782,-0.0422,23.6,14.92,💥【顶级共振】RSI共振(23.6/10.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.119,平稳
16,002031,巨轮智能,7.32,0.0722,-0.0368,25.49,-3.06,💥【顶级共振】RSI共振(25.5/10.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.936,平稳
17,002527,新时达,15.51,0.0718,-0.0414,24.76,-4.83,💥【顶级共振】RSI共振(24.8/7.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.012,平稳
