排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,601566,九牧王,10.53,0.1,-0.0186,25.4,3.17,💥【顶级共振】RSI共振(25.4/16.9) | 🎯【震荡-高吸】触及BOLL下轨 | 🔥【高弹性】回撤达标,持有,1.185,平稳
2,605337,李子园,10.8,0.1,-0.0314,16.68,0.03,💥【顶级共振】RSI共振(16.7/4.4) | 🎯【震荡-高吸】触及BOLL下轨 | 🔥【高弹性】回撤达标,持有,0.976,平稳
3,600858,银座股份,5.77,0.0998,-0.0154,21.19,-2.74,💥【顶级共振】RSI共振(21.2/9.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.116,平稳
4,603182,嘉华股份,14.82,0.0991,-0.0352,27.46,-0.39,💥【顶级共振】RSI共振(27.5/15.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.119,平稳
5,600733,北汽蓝谷,7.46,0.099,-0.0132,25.39,-3.91,💥【顶级共振】RSI共振(25.4/14.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.014,平稳
6,002668,TCL智家,9.12,0.0979,-0.0256,25.07,-10.17,💥【顶级共振】RSI共振(25.1/11.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.967,平稳
7,001318,阳光乳业,13.6,0.0951,-0.0244,23.38,-5.54,💥【顶级共振】RSI共振(23.4/12.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.053,平稳
8,002483,润邦股份,7.35,0.0937,-0.0504,28.71,-6.8,💥【顶级共振】RSI共振(28.7/12.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.112,平稳
9,603819,神力股份,11.79,0.0931,-0.0376,28.81,-9.2,💥【顶级共振】RSI共振(28.8/17.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.957,平稳
10,600965,福成股份,5.57,0.0869,-0.0262,27.89,-8.68,💥【顶级共振】RSI共振(27.9/12.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.113,平稳
11,000686,东北证券,8.25,0.0864,-0.0202,16.48,-1.06,💥【顶级共振】RSI共振(16.5/4.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.078,平稳
12,601108,财通证券,8.01,0.0856,-0.022,20.34,0.48,💥【顶级共振】RSI共振(20.3/7.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.071,平稳
13,002012,凯恩股份,6.75,0.0854,-0.0288,28.69,-7.52,💥【顶级共振】RSI共振(28.7/15.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.17,平稳
14,603569,长久物流,6.97,0.0841,-0.0279,27.94,7.16,💥【顶级共振】RSI共振(27.9/13.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.963,平稳
15,600095,湘财股份,9.84,0.0821,-0.0111,24.76,36.75,💥【顶级共振】RSI共振(24.8/17.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.044,平稳
16,002763,汇洁股份,7.52,0.0784,-0.0221,28.75,0.45,💥【顶级共振】RSI共振(28.8/17.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.116,平稳
17,002697,红旗连锁,5.41,0.0784,-0.0181,20.25,-3.31,💥【顶级共振】RSI共振(20.2/7.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.037,平稳
18,601238,广汽集团,7.5,0.0729,-0.0132,21.84,-7.87,💥【顶级共振】RSI共振(21.8/7.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.012,平稳
19,600909,华安证券,6.01,0.0725,-0.0228,23.21,24.34,💥【顶级共振】RSI共振(23.2/12.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.098,平稳
20,603018,华设集团,7.55,0.0713,-0.0208,24.13,-11.54,💥【顶级共振】RSI共振(24.1/8.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.0,平稳
21,603277,银都股份,14.88,0.0899,-0.0198,23.03,8.43,🌟【加强级】RSI极值(23.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.981,平稳
