排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,600055,万东医疗,15.94,0.0953,0.0,25.51,2.75,💥【顶级共振】RSI共振(25.5/8.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.955,平稳
2,601136,首创证券,17.88,0.0859,-0.0132,18.39,20.99,💥【顶级共振】RSI共振(18.4/11.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.958,平稳
3,601998,中信银行,7.19,0.0841,-0.0028,28.24,-3.74,💥【顶级共振】RSI共振(28.2/14.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.02,平稳
4,600480,凌云股份,11.63,0.0814,-0.006,26.18,-0.91,💥【顶级共振】RSI共振(26.2/11.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.981,平稳
5,002892,科力尔,12.6,0.0813,0.0048,27.54,-0.14,💥【顶级共振】RSI共振(27.5/17.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.932,平稳
6,601788,光大证券,16.76,0.0801,-0.0095,19.21,31.86,💥【顶级共振】RSI共振(19.2/4.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.991,平稳
7,603367,辰欣药业,17.49,0.08,-0.0102,29.0,-3.82,💥【顶级共振】RSI共振(29.0/14.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.016,平稳
8,000679,大连友谊,7.11,0.0778,-0.0139,28.39,22.69,💥【顶级共振】RSI共振(28.4/13.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.031,平稳
9,002786,银宝山新,8.4,0.0769,-0.0071,24.61,-6.93,💥【顶级共振】RSI共振(24.6/9.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.942,平稳
10,002675,东诚药业,13.77,0.0721,-0.0108,26.2,-4.14,💥【顶级共振】RSI共振(26.2/8.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.969,平稳
11,601186,中国铁建,7.27,0.0703,-0.0082,21.59,8.85,💥【顶级共振】RSI共振(21.6/15.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.976,平稳
12,002737,葵花药业,14.08,0.07,-0.0215,16.95,11.36,💥【顶级共振】RSI共振(16.9/7.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.94,平稳
13,002875,安奈儿,16.57,0.0697,0.0006,26.59,-1.29,💥【顶级共振】RSI共振(26.6/8.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.08,平稳
14,603035,常熟汽饰,15.41,0.0689,-0.0019,26.71,0.58,💥【顶级共振】RSI共振(26.7/8.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.06,平稳
15,601985,中国核电,8.61,0.0682,0.0,28.81,11.28,💥【顶级共振】RSI共振(28.8/11.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.961,平稳
16,600011,华能国际,7.06,0.0637,-0.0014,20.37,14.41,💥【顶级共振】RSI共振(20.4/9.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.061,平稳
17,601229,上海银行,9.24,0.0934,-0.0086,26.78,15.12,🌟【加强级】RSI极值(26.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.016,平稳
18,601881,中国银河,15.02,0.0886,-0.0157,26.36,38.8,🌟【加强级】RSI极值(26.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.967,平稳
19,600006,东风股份,6.93,0.0698,-0.0086,25.88,9.25,🌟【加强级】RSI极值(25.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.98,平稳
