Code,Name,Latest_Date,Latest_Close,Matched_Conditions,MA20,MA60,Volume_Ratio
600058,五矿发展,2025-11-28,8.4,形态: 两连阴,9.17,9.23,0.06X
600141,兴发集团,2025-11-28,32.5,趋势: 高于MA20,31.99,29.13,1.01X
603739,蔚蓝生物,2025-11-28,15.34,形态: 两连阴,15.57,14.61,0.88X
603823,百合花,2025-11-28,16.96,形态: 10日内有涨停 | 趋势: 高于MA20,16.61,15.44,0.98X
603176,汇通集团,2025-11-28,6.84,趋势: 高于MA20,6.14,6.19,1.16X
600150,中国船舶,2025-11-28,34.39,形态: 两连阴,34.98,35.87,0.51X
603901,永创智能,2025-11-28,13.57,量能: 放量 (1.58X) | 趋势: 高于MA20,12.62,11.76,1.58X
600439,瑞贝卡,2025-11-28,3.05,形态: 两连阴,3.10,3.01,1.03X
605077,华康股份,2025-11-28,16.01,形态: 两连阴,16.91,17.89,0.44X
603036,如通股份,2025-11-28,22.95,量能: 放量 (1.88X) | 趋势: 高于MA20,20.62,21.44,1.88X
600961,株冶集团,2025-11-28,14.99,形态: 两连阴 | 趋势: 高于MA20,14.90,15.19,1.06X
605180,华生科技,2025-11-28,15.74,趋势: 多头排列,15.79,15.64,0.34X
603050,科林电气,2025-11-28,17.13,形态: 两连阴,18.32,17.92,0.29X
600665,天地源,2025-11-28,3.69,趋势: 高于MA20,3.64,3.48,0.84X
603900,莱绅通灵,2025-11-28,9.04,形态: 两连阴,9.13,10.05,0.46X
605255,天普股份,2025-11-27,147.0,趋势: 多头排列 | 量能: 放量 (1.67X) | 形态: 10日内有涨停 | 趋势: 高于MA20,104.97,73.07,1.67X
605086,龙高股份,2025-11-28,33.99,趋势: 多头排列 | 量能: 放量 (1.96X) | 形态: 10日内有涨停 | 趋势: 高于MA20,28.40,26.43,1.96X
600320,振华重工,2025-11-28,4.53,形态: 两连阴,4.76,4.62,0.40X
605005,合兴股份,2025-11-28,19.1,趋势: 多头排列 | 趋势: 高于MA20,18.95,18.81,0.83X
605100,华丰股份,2025-11-28,44.34,趋势: 多头排列 | 趋势: 高于MA20,42.25,32.47,0.44X
600651,飞乐音响,2025-11-28,8.38,趋势: 高于MA20,8.08,8.25,0.86X
000020,深华发Ａ,2025-11-27,17.06,趋势: 多头排列 | 趋势: 高于MA20,15.51,14.70,1.37X
600085,同仁堂,2025-11-28,33.45,形态: 两连阴,34.11,34.44,0.96X
603668,天马科技,2025-11-28,15.1,趋势: 多头排列 | 形态: 10日内有涨停 | 趋势: 高于MA20,14.82,14.81,0.52X
601006,大秦铁路,2025-11-28,5.48,形态: 两连阴,5.65,5.83,1.22X
600734,实达集团,2025-11-28,5.08,趋势: 多头排列 | 量能: 放量 (2.13X) | 形态: 10日内有涨停 | 趋势: 高于MA20,4.32,3.91,2.13X
600361,创新新材,2025-11-28,4.34,形态: 两连阴,4.50,4.40,0.71X
601618,中国中冶,2025-11-28,3.18,形态: 两连阴,3.36,3.51,1.06X
600678,四川金顶,2025-11-28,11.1,形态: 10日内有涨停 | 趋势: 高于MA20,10.45,9.89,0.86X
000059,华锦股份,2025-11-27,5.07,形态: 两连阴,5.24,5.20,0.58X
603636,南威软件,2025-11-28,14.43,趋势: 多头排列 | 形态: 10日内有涨停 | 形态: 两连阴 | 趋势: 高于MA20,12.82,12.31,0.60X
605089,味知香,2025-11-28,27.79,趋势: 高于MA20,26.79,26.87,1.10X
600367,红星发展,2025-11-28,16.73,形态: 两连阴,17.23,17.16,0.70X
603496,恒为科技,2025-11-28,28.98,趋势: 高于MA20,28.17,29.31,0.51X
600166,福田汽车,2025-11-28,2.77,形态: 两连阴,2.87,2.81,1.00X
603803,瑞斯康达,2025-11-28,10.37,趋势: 多头排列 | 形态: 10日内有涨停 | 形态: 两连阴 | 趋势: 高于MA20,10.10,9.29,0.37X
603291,联合水务,2025-11-28,10.65,形态: 10日内有涨停 | 形态: 两连阴,10.87,10.99,0.50X
605577,龙版传媒,2025-11-28,13.9,形态: 两连阴,14.28,14.10,0.38X
603138,海量数据,2025-11-28,15.27,形态: 两连阴,15.38,15.99,0.16X
601118,海南橡胶,2025-11-28,6.09,量能: 放量 (1.70X) | 趋势: 高于MA20,5.97,5.58,1.70X
600690,海尔智家,2025-11-28,27.36,趋势: 多头排列 | 趋势: 高于MA20,26.87,26.01,0.15X
600829,人民同泰,2025-11-28,12.67,形态: 10日内有涨停 | 趋势: 高于MA20,12.52,9.64,0.97X
605598,上海港湾,2025-11-28,48.69,趋势: 多头排列 | 形态: 10日内有涨停 | 趋势: 高于MA20,40.61,31.73,0.82X
600795,国电电力,2025-11-28,5.63,趋势: 多头排列 | 趋势: 高于MA20,5.40,5.14,1.20X
603286,日盈电子,2025-11-28,49.93,趋势: 多头排列 | 趋势: 高于MA20,43.50,41.06,1.13X
600757,长江传媒,2025-11-28,8.61,形态: 两连阴,8.87,8.74,0.96X
600202,哈空调,2025-11-28,6.19,形态: 两连阴,6.36,6.10,0.82X
600617,国新能源,2025-11-28,3.42,形态: 两连阴,3.62,3.36,0.90X
600426,华鲁恒升,2025-11-28,28.27,趋势: 多头排列 | 趋势: 高于MA20,27.47,26.25,1.06X
603016,新宏泰,2025-11-28,26.62,量能: 放量 (2.22X) | 趋势: 高于MA20,25.99,26.70,2.22X
600776,东方通信,2025-11-28,13.73,趋势: 多头排列 | 趋势: 高于MA20,13.17,12.87,1.08X
000063,中兴通讯,2025-11-27,42.3,量能: 放量 (1.75X) | 趋势: 高于MA20,40.70,44.48,1.75X
600984,建设机械,2025-11-28,4.37,趋势: 多头排列 | 趋势: 高于MA20,4.13,3.89,1.22X
603778,国晟科技,2025-11-28,11.59,趋势: 多头排列 | 形态: 10日内有涨停 | 趋势: 高于MA20,7.48,5.12,1.00X
603395,红四方,2025-11-28,32.03,形态: 两连阴,34.48,34.88,0.68X
600730,中国高科,2025-11-28,12.61,趋势: 多头排列 | 形态: 10日内有涨停 | 趋势: 高于MA20,10.21,9.94,1.37X
600168,武汉控股,2025-11-28,5.27,形态: 两连阴,5.32,5.19,0.69X
601858,中国科传,2025-11-28,18.78,形态: 两连阴,19.22,19.81,0.50X
600666,奥瑞德,2025-11-28,3.45,形态: 两连阴,3.61,3.55,0.87X
600256,广汇能源,2025-11-28,5.0,形态: 两连阴,5.26,5.19,0.78X
605389,长龄液压,2025-11-28,72.4,趋势: 多头排列 | 量能: 放量 (1.63X) | 形态: 10日内有涨停 | 趋势: 高于MA20,65.42,59.66,1.63X
605090,九丰能源,2025-11-28,33.5,形态: 两连阴,33.85,32.92,1.28X
600279,重庆港,2025-11-28,5.04,形态: 两连阴,5.40,5.38,0.10X
603279,景津装备,2025-11-28,16.63,趋势: 多头排列,16.63,16.09,0.73X
603150,万朗磁塑,2025-11-28,36.81,趋势: 高于MA20,36.75,38.25,0.30X
601019,山东出版,2025-11-28,8.51,形态: 两连阴,8.60,8.16,0.67X
603195,公牛集团,2025-11-28,42.85,形态: 两连阴,43.44,44.66,0.66X
601319,中国人保,2025-11-28,8.66,趋势: 高于MA20,8.61,8.40,0.87X
600097,开创国际,2025-11-28,12.41,趋势: 多头排列 | 形态: 10日内有涨停,12.50,11.79,0.62X
603528,多伦科技,2025-11-28,9.43,趋势: 多头排列 | 趋势: 高于MA20,9.04,8.96,0.48X
603083,剑桥科技,2025-11-28,109.96,趋势: 高于MA20,105.11,105.95,0.39X
600482,中国动力,2025-11-28,20.16,形态: 两连阴,20.58,21.58,0.06X
603933,睿能科技,2025-11-28,23.02,量能: 放量 (2.47X) | 形态: 10日内有涨停 | 趋势: 高于MA20,20.79,19.00,2.47X
600088,中视传媒,2025-11-28,17.13,趋势: 高于MA20,16.60,16.81,0.52X
600039,四川路桥,2025-11-28,9.43,形态: 两连阴,9.55,8.93,1.00X
605399,晨光新材,2025-11-28,16.18,趋势: 多头排列 | 形态: 10日内有涨停 | 趋势: 高于MA20,15.24,13.77,1.46X
605050,福然德,2025-11-28,13.37,形态: 两连阴,14.07,16.15,1.19X
600125,铁龙物流,2025-11-28,6.13,形态: 两连阴,6.39,6.25,0.97X
000035,中国天楹,2025-11-27,5.56,形态: 两连阴,5.89,5.46,0.71X
605011,杭州热电,2025-11-28,20.63,形态: 两连阴,21.66,21.81,0.82X
603212,赛伍技术,2025-11-28,13.14,趋势: 多头排列 | 量能: 放量 (1.54X) | 形态: 10日内有涨停 | 趋势: 高于MA20,12.33,11.95,1.54X
603068,博通集成,2025-11-28,38.52,形态: 10日内有涨停 | 趋势: 高于MA20,36.95,40.05,0.91X
603665,康隆达,2025-11-28,30.71,趋势: 多头排列 | 形态: 两连阴 | 趋势: 高于MA20,30.26,27.91,0.80X
603232,格尔软件,2025-11-28,26.32,趋势: 多头排列 | 形态: 10日内有涨停 | 形态: 两连阴 | 趋势: 高于MA20,25.18,19.33,1.04X
600170,上海建工,2025-11-28,2.76,形态: 两连阴,2.89,2.88,0.99X
601999,出版传媒,2025-11-28,7.66,量能: 放量 (1.52X) | 趋势: 高于MA20,7.55,7.24,1.52X
600259,广晟有色,2025-11-28,52.58,形态: 两连阴,52.98,57.38,0.61X
603013,亚普股份,2025-11-28,22.65,趋势: 高于MA20,22.52,24.15,0.61X
605117,德业股份,2025-11-28,81.0,形态: 两连阴,81.06,75.15,1.25X
002383,合众思壮,2025-11-27,9.44,趋势: 高于MA20,9.38,9.28,0.67X
600255,鑫科材料,2025-11-28,3.56,形态: 两连阴,3.73,3.94,0.87X
600875,东方电气,2025-11-28,21.46,量能: 放量 (1.66X),21.88,20.53,1.66X
600860,京城股份,2025-11-28,12.07,量能: 放量 (1.69X),12.33,12.26,1.69X
603030,全筑股份,2025-11-28,3.2,形态: 两连阴,3.59,3.32,1.04X
603393,新天然气,2025-11-28,27.25,形态: 两连阴,28.73,29.06,0.40X
603119,浙江荣泰,2025-11-28,92.25,趋势: 高于MA20,89.49,95.06,0.81X
600156,华升股份,2025-11-28,8.98,形态: 10日内有涨停,9.08,8.83,0.96X
002363,隆基机械,2025-11-27,8.92,趋势: 高于MA20,8.73,8.21,0.85X
601669,中国电建,2025-11-28,5.43,形态: 两连阴,5.63,5.69,1.42X
603878,武进不锈,2025-11-28,10.54,量能: 放量 (1.83X) | 形态: 10日内有涨停 | 趋势: 高于MA20,9.94,9.14,1.83X
600872,中炬高新,2025-11-28,17.65,形态: 两连阴,18.19,18.51,0.80X
600110,诺德股份,2025-11-28,7.52,趋势: 多头排列 | 形态: 10日内有涨停 | 趋势: 高于MA20,7.41,7.11,0.74X
603551,奥普科技,2025-11-28,11.7,形态: 两连阴 | 趋势: 高于MA20,11.58,11.80,0.33X
