Code,Name,Latest_Date,Latest_Close,Matched_Conditions,MA5,MA20,MA60,Volume_Ratio,RSI,MACD,Signal
600141,兴发集团,2025-11-28,32.5,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",31.18,31.99,29.13,1.01X,56.93,0.730,1.061
601187,厦门银行,2025-11-28,7.15,RSI 强势 (> 50),7.05,7.20,6.80,1.10X,54.12,0.040,0.074
603739,蔚蓝生物,2025-11-28,15.34,RSI 强势 (> 50),15.09,15.57,14.61,0.88X,52.88,0.110,0.241
603823,百合花,2025-11-28,16.96,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",16.31,16.61,15.44,0.98X,56.69,0.137,0.137
603176,汇通集团,2025-11-28,6.84,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",6.35,6.14,6.19,1.16X,68.67,0.072,-0.013
603901,永创智能,2025-11-28,13.57,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.58X) | MACD 金叉 | RSI 强势 (> 50)",12.54,12.62,11.76,1.58X,64.06,0.170,0.153
600439,瑞贝卡,2025-11-28,3.05,RSI 强势 (> 50),3.02,3.10,3.01,1.03X,50.31,0.006,0.023
603036,如通股份,2025-11-28,22.95,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.88X) | RSI 强势 (> 50)",20.83,20.62,21.44,1.88X,63.43,-0.165,-0.391
600961,株冶集团,2025-11-28,14.99,RSI 强势 (> 50),14.70,14.90,15.19,1.06X,50.14,-0.134,-0.120
605180,华生科技,2025-11-28,15.74,多头排列 (MA5>MA20>MA60),15.91,15.79,15.64,0.34X,49.53,0.114,0.133
600665,天地源,2025-11-28,3.69,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",3.60,3.64,3.48,0.84X,57.51,0.034,0.046
605255,天普股份,2025-11-27,147.0,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.67X) | RSI 强势 (> 50)",127.91,104.97,73.07,1.67X,77.41,14.373,10.913
605086,龙高股份,2025-11-28,33.99,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.96X) | RSI 强势 (> 50)",31.54,28.40,26.43,1.96X,79.38,1.739,1.299
605005,合兴股份,2025-11-28,19.1,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | MACD 金叉 | RSI 强势 (> 50)",19.04,18.95,18.81,0.83X,55.31,0.109,0.108
605100,华丰股份,2025-11-28,44.34,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),44.86,42.25,32.47,0.44X,61.98,3.606,3.997
600651,飞乐音响,2025-11-28,8.38,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",8.18,8.08,8.25,0.86X,54.64,-0.034,-0.078
000020,深华发Ａ,2025-11-27,17.06,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",16.10,15.51,14.70,1.37X,71.35,0.432,0.334
603668,天马科技,2025-11-28,15.1,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",14.85,14.82,14.81,0.52X,52.58,0.092,0.076
600734,实达集团,2025-11-28,5.08,多头排列 (MA5>MA20>MA60) | 放量上涨 (2.13X) | RSI 强势 (> 50),5.49,4.32,3.91,2.13X,60.90,0.458,0.296
600678,四川金顶,2025-11-28,11.1,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",10.33,10.45,9.89,0.86X,59.66,0.142,0.159
