Code,Name,Latest_Close,Latest_Date,RSI
605389,长龄液压,72.4,2025-11-28,59.43145589798089
600882,妙可蓝多,27.34,2025-11-28,62.347729789590254
600589,大位科技,7.87,2025-11-28,63.33333333333333
603001,奥康国际,10.0,2025-11-28,66.91588785046729
601825,沪农商行,9.42,2025-11-28,73.60406091370555
605255,天普股份,147.0,2025-11-27,74.63636363636364
603999,读者传媒,7.95,2025-11-28,78.90295358649789
000070,特发信息,14.44,2025-11-27,79.69613259668508
605086,龙高股份,33.99,2025-11-28,83.26300984528831
600828,茂业商业,6.15,2025-11-28,83.79204892966361
