Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
002300,太阳电缆,2026-07-31,13.02,1.56%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.89%, -4.40%) | 趋势: 高于MA20",10.17,8.97,0.87X
603339,四方科技,2026-07-15,12.94,-10.01%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.66%, -10.01%)",14.48,13.76,0.71X
002682,龙洲股份,2026-07-31,4.19,1.21%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.13,4.78,0.99X
002911,佛燃能源,2026-07-31,8.8,0.23%,动量: 突破转强 (阳线上穿5/10),9.29,10.41,1.04X
603889,新澳股份,2026-07-31,5.84,0.86%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.45,6.08,0.65X
002243,力合科创,2026-07-31,9.88,2.60%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,8.79,8.30,1.08X
002488,金固股份,2026-07-15,8.45,0.60%,"形态: 两连阴 (-3.81%, -2.21%)",9.16,10.59,0.90X
002642,荣联科技,2026-07-15,7.0,0.72%,形态: 10日内有涨停 | 趋势: 高于MA20,6.58,7.64,0.64X
600587,新华医疗,2026-07-15,12.72,3.67%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.13,12.99,1.38X
600628,新世界,2026-07-15,6.06,1.17%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.83,6.39,1.08X
603535,嘉诚国际,2026-07-15,6.11,1.66%,动量: 突破转强 (阳线上穿5/10),6.20,7.21,1.08X
000058,深 赛 格,2026-07-15,6.16,1.82%,动量: 突破转强 (阳线上穿5/10),6.25,7.42,0.96X
002152,广电运通,2026-07-15,9.97,0.00%,"形态: 10日内有涨停 | 形态: 两连阴 (-1.36%, -1.58%) | 趋势: 高于MA20",9.78,10.71,0.59X
601858,中国科传,2026-07-15,18.13,0.39%,形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),18.28,22.51,1.16X
600611,大众交通,2026-07-15,3.72,2.48%,动量: 突破转强 (阳线上穿5/10),3.87,4.44,0.99X
600756,浪潮软件,2026-07-31,9.22,1.21%,动量: 突破转强 (阳线上穿5/10),10.81,13.15,0.84X
600097,开创国际,2026-07-15,8.23,2.11%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),8.12,9.22,1.02X
600249,两面针,2026-07-15,4.92,3.36%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.73,5.32,1.31X
600860,京城股份,2026-07-31,8.0,0.88%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.85,8.88,0.95X
000605,渤海股份,2026-07-15,5.76,3.78%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.58,6.30,1.19X
603073,彩蝶实业,2026-07-15,15.35,0.52%,动量: 突破转强 (阳线上穿5/10),15.47,18.09,0.89X
600644,乐山电力,2026-07-31,7.43,4.50%,"形态: 两连阴 (-0.27%, -4.69%)",7.82,9.57,1.29X
600382,广东明珠,2026-07-31,6.35,-0.31%,趋势: 高于MA20,6.22,7.49,0.83X
600461,洪城环境,2026-07-15,9.44,1.83%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),9.17,9.76,1.05X
000048,京基智农,2026-07-31,18.81,10.00%,"形态: 10日内有涨停 | 形态: 两连阴 (-0.11%, -5.58%) | 动量: 突破转强 (阳线上穿5/10)",20.10,17.88,1.17X
002268,电科网安,2026-07-15,14.42,1.84%,"形态: 两连阴 (-6.65%, -1.12%) | 趋势: 高于MA20",13.76,14.63,0.74X
605166,聚合顺,2026-07-31,4.68,5.17%,动量: 突破转强 (阳线上穿5/10),5.99,8.99,1.45X
002995,天地在线,2026-07-15,16.01,1.33%,形态: 10日内有涨停,17.82,20.84,0.77X
600679,上海凤凰,2026-07-15,9.3,1.42%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),9.01,10.03,1.05X
603303,得邦照明,2026-07-15,22.44,0.04%,"形态: 10日内有涨停 | 形态: 两连阴 (-7.14%, -2.61%)",26.11,23.96,0.84X
002593,日上集团,2026-07-31,4.27,0.71%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.14,4.48,1.16X
605033,美邦股份,2026-07-15,17.71,1.37%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),17.55,20.15,0.84X
002649,博彦科技,2026-07-15,8.28,3.24%,动量: 突破转强 (阳线上穿5/10),8.31,9.66,1.27X
601668,中国建筑,2026-07-15,4.72,0.64%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.54,4.73,1.19X
002245,蔚蓝锂芯,2026-07-31,15.88,5.03%,"形态: 10日内有涨停 | 形态: 两连阴 (-0.06%, -5.79%)",18.08,20.38,1.16X
002999,天禾股份,2026-07-15,5.63,1.44%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.55,6.31,0.80X
600062,华润双鹤,2026-07-15,17.25,2.31%,量能: 放量 (1.54X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),16.58,17.12,1.54X
603880,南卫股份,2026-07-31,6.9,0.15%,动量: 突破转强 (阳线上穿5/10),6.90,7.57,0.63X
002973,侨银股份,2026-07-15,10.33,4.45%,动量: 突破转强 (阳线上穿5/10),10.79,12.29,1.01X
002404,嘉欣丝绸,2026-07-15,5.84,1.92%,动量: 突破转强 (阳线上穿5/10),5.88,6.49,1.19X
000553,安道麦A,2026-07-31,6.74,0.45%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),6.33,6.25,0.99X
002877,智能自控,2026-07-15,7.14,3.18%,动量: 突破转强 (阳线上穿5/10),7.21,8.19,1.24X
002845,同兴达,2026-07-15,14.21,-8.03%,形态: 10日内有涨停,15.66,15.28,1.04X
002540,亚太科技,2026-07-31,5.01,0.80%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.77,5.15,0.72X
603017,中衡设计,2026-07-31,8.99,2.98%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),8.94,11.12,1.01X
600737,中粮糖业,2026-07-31,6.92,0.44%,动量: 突破转强 (阳线上穿5/10),8.78,11.96,0.96X
002815,崇达技术,2026-07-31,10.65,2.21%,动量: 突破转强 (阳线上穿5/10),12.78,15.61,0.87X
000409,云鼎科技,2026-07-31,6.97,0.00%,形态: 10日内有涨停,7.20,8.64,0.51X
603585,苏利股份,2026-07-31,5.38,0.37%,动量: 突破转强 (阳线上穿5/10),7.60,13.15,1.11X
002998,优彩资源,2026-07-15,7.36,3.37%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.04,8.24,1.25X
605366,宏柏新材,2026-07-31,7.01,2.49%,"形态: 两连阴 (-1.24%, -4.47%)",8.48,10.59,0.91X
600279,重庆港,2026-07-31,4.24,-0.24%,趋势: 高于MA20,4.08,4.43,1.06X
003040,楚天龙,2026-07-15,10.11,1.00%,"形态: 两连阴 (-4.11%, -0.20%)",10.82,12.93,0.65X
000973,佛塑科技,2026-07-15,12.44,6.14%,形态: 10日内有涨停,13.96,15.75,1.25X
