Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600058,五矿发展,2026-02-02,13.17,-3.59%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-6.14%, -7.89%) | 趋势: 高于MA20",13.02,10.43,0.01X
002284,亚太股份,2026-02-02,16.28,-3.95%,趋势: 多头排列 (5>20>60),16.55,14.26,0.03X
600644,乐山电力,2026-02-02,11.05,-2.81%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,10.97,10.66,0.05X
000560,我爱我家,2025-12-25,2.93,0.69%,动量: 突破转强 (阳线上穿5/10),2.99,2.98,0.93X
600141,兴发集团,2025-12-25,34.9,0.49%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),32.71,30.79,0.99X
603613,国联股份,2025-12-25,27.9,0.43%,动量: 突破转强 (阳线上穿5/10),28.56,28.53,0.84X
603124,江南新材,2025-12-25,84.48,2.75%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),75.04,80.17,1.15X
000906,浙商中拓,2026-02-02,6.03,-3.21%,趋势: 多头排列 (5>20>60),6.08,6.05,0.02X
000717,中南股份,2025-12-25,2.61,-0.38%,趋势: 高于MA20,2.57,2.69,0.60X
002196,方正电机,2026-02-02,16.98,1.19%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,16.33,14.45,0.02X
603369,今世缘,2025-12-25,35.53,0.99%,"形态: 两连阴 (-1.51%, -0.14%) | 动量: 突破转强 (阳线上穿5/10)",35.84,37.79,1.12X
002432,九安医疗,2025-12-25,40.78,0.02%,趋势: 多头排列 (5>20>60),40.95,40.80,0.78X
002880,卫光生物,2025-12-25,26.08,0.42%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),25.99,26.76,0.63X
000596,古井贡酒,2025-12-25,143.78,1.37%,"形态: 两连阴 (-1.35%, -0.81%)",150.71,155.73,1.06X
002088,鲁阳节能,2026-02-02,12.25,-7.76%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,12.01,11.55,0.02X
000582,北部湾港,2026-02-02,9.48,-3.07%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.30%, -1.21%)",9.66,9.27,0.03X
002017,东信和平,2025-12-25,21.6,1.50%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),21.09,22.78,1.16X
603823,百合花,2026-02-02,17.0,-5.45%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.25%, -1.64%)",17.68,16.62,0.03X
603176,汇通集团,2026-02-02,5.64,-2.76%,趋势: 高于MA20,5.56,5.68,0.05X
600150,中国船舶,2025-12-25,33.84,1.41%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),33.73,34.73,1.19X
000858,五 粮 液,2025-12-25,110.6,1.21%,"形态: 两连阴 (-0.55%, -0.40%)",112.82,117.54,1.04X
002246,北化股份,2026-02-02,20.32,-5.40%,趋势: 多头排列 (5>20>60),21.07,18.88,0.02X
002104,恒宝股份,2025-12-25,20.49,2.55%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),19.01,20.07,1.38X
000681,视觉中国,2025-12-25,22.14,0.73%,动量: 突破转强 (阳线上穿5/10),22.37,22.34,0.96X
600439,瑞贝卡,2025-12-25,2.84,0.35%,形态: 10日内有涨停,2.89,2.95,0.59X
605077,华康股份,2026-02-02,15.68,-3.03%,趋势: 多头排列 (5>20>60),15.81,15.79,0.05X
002614,奥佳华,2026-02-02,6.89,-1.15%,形态: 10日内有涨停,7.38,7.44,0.03X
001360,南矿集团,2025-12-25,23.76,10.00%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.73%, -1.41%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",20.78,17.74,0.85X
603036,如通股份,2025-12-25,20.9,7.68%,"量能: 放量 (2.11X) | 形态: 两连阴 (-0.56%, -0.77%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",20.75,21.24,2.11X
600961,株冶集团,2026-02-02,20.64,-9.99%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,19.78,16.83,0.00X
605377,华旺科技,2026-02-02,8.7,-1.58%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,8.60,8.52,0.04X
600030,中信证券,2025-12-25,28.96,0.77%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),28.28,28.78,1.16X
600352,浙江龙盛,2026-02-02,13.7,-9.99%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,12.46,11.29,0.05X
000683,博源化工,2026-02-02,7.71,-8.76%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.69%, -2.54%)",8.03,7.45,0.05X
603938,三孚股份,2026-02-02,25.06,-5.79%,趋势: 多头排列 (5>20>60),25.23,21.03,0.02X
603070,万控智造,2026-02-02,14.63,1.60%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,14.17,13.55,0.04X
002759,天际股份,2025-12-25,45.0,6.84%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),36.89,32.99,1.45X
605180,华生科技,2026-02-02,15.32,-0.45%,趋势: 高于MA20,15.07,15.09,0.05X
600396,华电辽能,2025-12-25,2.96,1.02%,动量: 突破转强 (阳线上穿5/10),3.00,3.14,1.17X
000726,鲁  泰Ａ,2026-02-02,7.45,-4.36%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,7.42,7.25,0.04X
600116,三峡水利,2026-02-02,6.62,-3.36%,趋势: 多头排列 (5>20>60),6.67,6.60,0.05X
601965,中国汽研,2026-02-02,18.39,-2.96%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.98%, -1.35%)",18.55,17.52,0.04X
002908,德生科技,2026-02-02,10.12,1.10%,"形态: 两连阴 (-0.39%, -2.82%)",10.56,10.03,0.01X
002365,永安药业,2026-02-02,14.67,-1.08%,"形态: 两连阴 (-0.93%, -1.00%)",15.56,15.84,0.02X
603050,科林电气,2026-02-02,20.92,-0.85%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,19.65,18.40,0.03X
002352,顺丰控股,2025-12-25,38.28,0.24%,"形态: 两连阴 (-0.10%, -0.21%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",37.94,39.42,0.73X
600732,爱旭股份,2026-02-02,13.37,-1.69%,"形态: 10日内有涨停 | 形态: 两连阴 (-1.79%, -4.43%)",13.86,13.86,0.01X
600665,天地源,2025-12-25,3.29,0.92%,"形态: 两连阴 (-2.66%, -0.91%)",3.46,3.50,0.73X
603900,莱绅通灵,2026-02-02,8.34,-10.03%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.18%, -10.00%)",9.22,9.05,0.01X
605255,天普股份,2025-12-25,171.16,10.00%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),144.91,105.46,0.97X
002666,德联集团,2026-02-02,5.5,-3.34%,趋势: 多头排列 (5>20>60),5.58,5.43,0.03X
600320,振华重工,2025-12-25,4.87,2.96%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.76,4.71,1.06X
605005,合兴股份,2025-12-25,20.55,3.11%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),19.49,18.93,0.99X
002932,明德生物,2026-02-02,19.09,-0.88%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.77%, -0.47%) | 趋势: 高于MA20",19.08,18.75,0.01X
600867,通化东宝,2026-02-02,8.57,-5.30%,趋势: 多头排列 (5>20>60),8.70,8.69,0.02X
000852,石化机械,2026-02-02,7.74,-4.44%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.96%, -1.46%)",7.84,7.41,0.02X
001319,铭科精技,2025-12-25,26.21,1.98%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),25.65,26.09,1.05X
603995,甬金股份,2026-02-02,18.42,-4.36%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.92%, -1.08%)",19.02,18.18,0.05X
603117,万林物流,2025-12-25,4.84,1.68%,动量: 突破转强 (阳线上穿5/10),4.93,5.21,0.93X
601001,晋控煤业,2026-02-02,14.31,-6.23%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.53%, -0.97%)",14.55,14.50,0.05X
002389,航天彩虹,2025-12-25,24.0,4.58%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),22.95,22.31,1.50X
603087,甘李药业,2025-12-25,66.99,0.10%,"形态: 两连阴 (-1.10%, -0.56%) | 趋势: 高于MA20",65.10,67.20,0.70X
002635,安洁科技,2026-02-02,13.6,-2.30%,"形态: 两连阴 (-2.41%, -1.69%)",14.22,13.92,0.01X
603075,热威股份,2025-12-25,22.01,1.01%,动量: 突破转强 (阳线上穿5/10),22.03,22.23,1.10X
002322,理工能科,2026-02-02,13.11,-0.76%,趋势: 多头排列 (5>20>60),13.11,12.55,0.03X
002870,香山股份,2025-12-25,39.69,10.01%,量能: 放量 (2.73X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),36.10,36.54,2.73X
002931,锋龙股份,2025-12-25,21.65,10.01%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),19.75,17.66,0.09X
600711,盛屯矿业,2026-02-02,14.54,-10.02%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.14%, -9.57%)",16.73,14.18,0.04X
605100,华丰股份,2025-12-25,40.98,1.61%,动量: 突破转强 (阳线上穿5/10),42.72,37.69,1.12X
603980,吉华集团,2026-02-02,6.55,0.00%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,5.58,5.40,0.00X
600651,飞乐音响,2026-02-02,7.89,-3.55%,趋势: 多头排列 (5>20>60),8.22,7.96,0.02X
002849,威星智能,2026-02-02,19.07,-1.04%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,18.33,15.66,0.03X
001215,千味央厨,2025-12-25,38.74,-0.15%,"形态: 两连阴 (-1.45%, -3.10%) | 趋势: 高于MA20",38.12,38.92,0.72X
000020,深华发Ａ,2026-02-02,14.93,0.07%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),14.70,15.14,0.13X
603032,德新科技,2026-02-02,18.69,-2.40%,"形态: 两连阴 (-0.10%, -0.26%)",19.73,20.02,0.02X
002056,横店东磁,2026-02-02,19.23,-4.71%,趋势: 多头排列 (5>20>60),20.54,20.01,0.04X
002281,光迅科技,2025-12-25,70.68,-0.62%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,65.83,62.93,0.90X
002400,省广集团,2026-02-02,11.98,-1.16%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,11.30,9.52,0.02X
603668,天马科技,2026-02-02,14.85,-3.70%,"形态: 两连阴 (-2.02%, -0.84%)",16.10,15.96,0.08X
002803,吉宏股份,2026-02-02,19.33,-2.62%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,19.23,17.29,0.03X
002159,三特索道,2026-02-02,16.15,-1.04%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,15.69,15.60,0.05X
001400,江顺科技,2025-12-25,74.56,10.00%,趋势: 多头排列 (5>20>60) | 量能: 放量 (2.91X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),65.51,65.04,2.91X
002520,日发精机,2026-02-02,5.79,-1.86%,"形态: 两连阴 (-0.83%, -0.67%)",6.22,6.15,0.02X
000510,新金路,2026-02-02,14.72,-8.97%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-10.01%, -2.77%)",15.98,11.32,0.03X
601618,中国中冶,2025-12-25,2.98,-0.33%,"形态: 两连阴 (-0.33%, -0.33%)",3.09,3.41,0.96X
000409,云鼎科技,2026-02-02,11.48,-1.96%,"形态: 两连阴 (-0.25%, -2.25%)",11.89,11.62,0.03X
001277,速达股份,2025-12-25,40.15,0.63%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),39.10,39.38,0.68X
600180,瑞茂通,2025-12-25,3.72,-1.06%,"形态: 两连阴 (-3.06%, -1.05%)",4.14,4.52,1.27X
002474,榕基软件,2026-02-02,8.65,-1.37%,"形态: 两连阴 (-0.34%, -1.46%)",9.84,9.99,0.01X
600678,四川金顶,2026-02-02,12.92,0.08%,形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),13.29,12.42,0.07X
