Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
002296,辉煌科技,2026-02-09,14.15,10.03%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.63X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.84%, -1.08%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",12.94,11.59,1.63X
000571,新大洲A,2026-02-09,6.75,9.93%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (2.21X) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.04%, -0.65%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",6.30,6.04,2.21X
002079,苏州固锝,2026-02-09,11.81,9.96%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.70X) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.98%, -1.29%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",10.66,9.98,1.70X
