Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600058,五矿发展,2026-02-06,13.03,0.85%,"形态: 两连阴 (-1.83%, -3.65%)",13.70,10.70,0.76X
000560,我爱我家,2025-12-25,2.93,0.69%,动量: 突破转强 (阳线上穿5/10),2.99,2.98,0.93X
600141,兴发集团,2025-12-25,34.9,0.49%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),32.71,30.79,0.99X
603613,国联股份,2025-12-25,27.9,0.43%,动量: 突破转强 (阳线上穿5/10),28.56,28.53,0.84X
603124,江南新材,2025-12-25,84.48,2.75%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),75.04,80.17,1.15X
000906,浙商中拓,2026-02-06,6.16,-0.81%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,6.12,6.04,0.87X
000717,中南股份,2025-12-25,2.61,-0.38%,趋势: 高于MA20,2.57,2.69,0.60X
002196,方正电机,2026-02-06,16.6,3.04%,趋势: 多头排列 (5>20>60),16.65,14.54,1.13X
603369,今世缘,2025-12-25,35.53,0.99%,"形态: 两连阴 (-1.51%, -0.14%) | 动量: 突破转强 (阳线上穿5/10)",35.84,37.79,1.12X
002432,九安医疗,2025-12-25,40.78,0.02%,趋势: 多头排列 (5>20>60),40.95,40.80,0.78X
002880,卫光生物,2025-12-25,26.08,0.42%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),25.99,26.76,0.63X
000596,古井贡酒,2025-12-25,143.78,1.37%,"形态: 两连阴 (-1.35%, -0.81%)",150.71,155.73,1.06X
002088,鲁阳节能,2026-02-06,12.44,-0.48%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,12.37,11.60,0.59X
000582,北部湾港,2026-02-06,9.66,-1.13%,趋势: 多头排列 (5>20>60),9.70,9.33,0.83X
601187,厦门银行,2026-02-06,7.79,-1.77%,量能: 放量 (1.95X) | 形态: 10日内有涨停 | 趋势: 高于MA20,7.17,7.32,1.95X
002017,东信和平,2025-12-25,21.6,1.50%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),21.09,22.78,1.16X
603739,蔚蓝生物,2026-02-06,15.63,0.71%,动量: 突破转强 (阳线上穿5/10),15.70,15.09,0.96X
603823,百合花,2026-02-06,18.48,10.00%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),18.00,16.67,1.22X
603176,汇通集团,2026-02-06,5.77,0.52%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.64,5.65,0.76X
600150,中国船舶,2025-12-25,33.84,1.41%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),33.73,34.73,1.19X
002946,新乳业,2026-02-06,19.5,-1.27%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,18.75,18.10,1.11X
000858,五 粮 液,2025-12-25,110.6,1.21%,"形态: 两连阴 (-0.55%, -0.40%)",112.82,117.54,1.04X
002246,北化股份,2026-02-06,19.67,-0.15%,"形态: 两连阴 (-0.83%, -3.19%)",21.07,18.97,0.92X
002104,恒宝股份,2025-12-25,20.49,2.55%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),19.01,20.07,1.38X
000811,冰轮环境,2026-02-06,17.05,-0.53%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,16.51,16.00,0.73X
