Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
002697,红旗连锁,2025-12-15,6.23,10.07%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.68X) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.96%, -2.75%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",5.83,5.71,1.68X
002752,昇兴股份,2025-12-15,8.18,8.20%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.52X) | 形态: 10日内有涨停 | 形态: 两连阴 (-9.59%, -2.20%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",7.07,6.22,1.52X
