Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
603212,赛伍技术,2025-12-16,13.77,9.98%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (2.28X) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.16%, -0.24%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",12.97,12.11,2.28X
600721,百花医药,2025-12-16,10.45,4.19%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.50X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.29%, -3.65%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",9.99,9.53,1.50X
