Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600058,五矿发展,2025-12-12,9.18,-1.61%,形态: 10日内有涨停 | 趋势: 高于MA20,8.85,9.11,0.74X
002284,亚太股份,2025-12-12,12.4,-1.04%,趋势: 高于MA20,12.22,12.83,1.11X
600644,乐山电力,2025-12-12,10.5,3.14%,量能: 放量 (2.55X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),10.39,10.98,2.55X
603613,国联股份,2025-12-12,28.95,-2.20%,趋势: 高于MA20,28.44,29.00,1.10X
603124,江南新材,2025-12-12,73.51,1.21%,"形态: 两连阴 (-2.44%, -2.34%)",74.01,81.83,0.59X
002196,方正电机,2025-12-12,12.47,0.65%,"形态: 两连阴 (-1.24%, -2.59%)",13.19,11.60,0.75X
000596,古井贡酒,2025-12-12,145.47,-1.31%,"量能: 放量 (1.79X) | 形态: 两连阴 (-0.23%, -1.63%)",159.38,158.48,1.79X
002088,鲁阳节能,2025-12-12,10.88,1.87%,量能: 放量 (1.56X),11.59,12.10,1.56X
000582,北部湾港,2025-12-12,8.83,-0.45%,趋势: 多头排列 (5>20>60),8.88,8.79,1.13X
601187,厦门银行,2025-12-12,7.56,-0.26%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,7.29,6.95,1.11X
600196,复星医药,2025-12-12,28.28,-0.91%,趋势: 高于MA20,27.49,28.80,0.82X
603739,蔚蓝生物,2025-12-12,14.2,-0.63%,"形态: 两连阴 (-1.69%, -1.45%)",15.05,14.65,0.94X
603823,百合花,2025-12-12,16.11,1.90%,"形态: 两连阴 (-0.80%, -2.23%)",16.17,15.71,1.09X
000838,财信发展,2025-12-12,3.8,-0.78%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,3.62,3.15,0.73X
600179,安通控股,2025-12-12,4.16,-2.58%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.45%, -4.26%)",4.25,4.12,0.71X
002946,新乳业,2025-12-12,17.3,5.10%,量能: 放量 (2.06X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),17.08,17.25,2.06X
