Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
001336,楚环科技,2025-12-03,28.29,9.99%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (2.51X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.35%, -0.81%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",25.76,24.19,2.51X
000633,合金投资,2025-12-03,8.6,3.99%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.58X) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.40%, -2.13%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",7.80,7.04,1.58X
002487,大金重工,2025-12-03,55.22,10.00%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.84X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.69%, -1.32%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",47.89,46.52,1.84X
001211,双枪科技,2025-12-03,29.28,9.99%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (2.68X) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.32%, -1.11%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",27.18,26.53,2.68X
