Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
603778,国晟科技,2025-12-11,13.89,7.34%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.53X) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.51%, -0.92%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",10.72,6.50,1.53X
002202,金风科技,2025-12-11,16.98,9.97%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.88X) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.95%, -0.96%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",15.26,15.09,1.88X
