Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600118,中国卫星,2025-12-04,45.97,10.00%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.66X) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.54%, -2.09%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",42.91,39.50,1.66X
600635,大众公用,2025-12-04,8.22,10.04%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.51X) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.11%, -2.86%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",7.28,6.40,1.51X
600509,天富能源,2025-12-04,9.11,10.02%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.83X) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.78%, -1.43%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",8.58,8.46,1.83X
