Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
002284,亚太股份,2025-12-04,12.33,0.41%,"形态: 两连阴 (-0.73%, -0.08%) | 动量: 突破转强 (阳线上穿5/10)",12.40,12.77,0.87X
600644,乐山电力,2025-12-04,10.05,-1.08%,"形态: 两连阴 (-0.96%, -1.36%)",10.81,11.11,0.93X
000560,我爱我家,2025-12-04,3.06,-1.92%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,3.04,3.01,0.85X
600141,兴发集团,2025-12-04,32.58,1.40%,"形态: 两连阴 (-0.34%, -0.65%) | 动量: 突破转强 (阳线上穿5/10)",32.68,29.46,1.02X
603613,国联股份,2025-12-04,30.12,1.21%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),28.10,29.10,1.16X
000717,中南股份,2025-12-04,2.57,-1.15%,"形态: 两连阴 (-0.77%, -0.38%)",2.69,2.76,1.05X
002196,方正电机,2025-12-04,12.91,2.87%,量能: 放量 (1.71X),13.94,11.23,1.71X
002880,卫光生物,2025-12-04,26.04,-0.99%,"形态: 两连阴 (-0.60%, -0.23%)",27.03,27.20,1.18X
000596,古井贡酒,2025-12-04,154.48,-1.61%,"量能: 放量 (1.61X) | 形态: 两连阴 (-0.62%, -4.84%)",162.75,160.38,1.61X
002088,鲁阳节能,2025-12-04,11.19,-3.87%,"形态: 两连阴 (-0.34%, -1.36%)",11.90,12.25,1.03X
000582,北部湾港,2025-12-04,9.01,-0.33%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,8.90,8.77,0.94X
601187,厦门银行,2025-12-04,7.43,-1.85%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,7.25,6.86,0.80X
600196,复星医药,2025-12-04,26.97,-0.30%,"形态: 两连阴 (-1.13%, -0.15%)",27.72,29.12,0.93X
002017,东信和平,2025-12-04,20.57,-1.15%,"形态: 两连阴 (-2.29%, -2.21%)",21.82,24.00,0.93X
002761,浙江建投,2025-12-04,8.68,-0.23%,"形态: 两连阴 (-0.67%, -2.03%)",9.23,9.31,0.81X
603823,百合花,2025-12-04,16.02,-4.36%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.46%, -1.06%)",16.33,15.54,0.93X
000838,财信发展,2025-12-04,3.92,0.77%,趋势: 多头排列 (5>20>60) | 量能: 放量 (2.41X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),3.47,3.05,2.41X
002946,新乳业,2025-12-04,16.71,-2.51%,"形态: 两连阴 (-1.26%, -0.75%)",17.40,17.43,1.10X
000858,五 粮 液,2025-12-04,114.45,-0.99%,"形态: 两连阴 (-0.71%, -0.83%)",118.80,121.10,1.39X
002104,恒宝股份,2025-12-04,17.87,-0.72%,"形态: 两连阴 (-2.06%, -2.17%)",18.98,21.34,0.98X
000530,冰山冷热,2025-12-04,7.34,-4.68%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,6.77,6.61,1.26X
000811,冰轮环境,2025-12-04,13.39,0.07%,"形态: 两连阴 (-1.82%, -0.82%)",13.95,13.84,0.61X
000681,视觉中国,2025-12-04,22.45,-1.41%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停,23.18,21.97,0.76X
603901,永创智能,2025-12-04,13.78,1.85%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.75,11.95,0.86X
600439,瑞贝卡,2025-12-04,2.92,-2.67%,"形态: 两连阴 (-0.66%, -1.32%)",3.08,3.01,1.05X
002614,奥佳华,2025-12-04,7.6,-0.52%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,7.37,7.01,1.22X
001360,南矿集团,2025-12-04,17.13,-1.89%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,16.59,16.18,0.91X
603036,如通股份,2025-12-04,22.16,-0.31%,趋势: 高于MA20,20.87,21.49,0.57X
