Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
002885,京泉华,2025-12-12,27.51,6.59%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.69X) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.57%, -1.30%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",25.80,24.12,1.69X
600237,铜峰电子,2025-12-12,8.99,10.04%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (2.21X) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.03%, -0.61%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",8.41,7.95,2.21X
601179,中国西电,2025-12-12,9.08,10.06%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.99X) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.08%, -0.36%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",8.45,7.90,1.99X
